instance_id,instance,seed,cutoff_objective_5s,cutoff_time_s_5s,final_pb_accepted_5s,final_rt_accepted_5s,final_objective_5s,cutoff_objective_30s,cutoff_time_s_30s,final_pb_accepted_30s,final_rt_accepted_30s,final_objective_30s,cutoff_objective_change_pct_30s,commitment_windows_changed_30s,final_accepted_change_30s,final_objective_change_30s,cutoff_objective_300s,cutoff_time_s_300s,final_pb_accepted_300s,final_rt_accepted_300s,final_objective_300s,cutoff_objective_change_pct_300s,commitment_windows_changed_300s,final_accepted_change_300s,final_objective_change_300s
leuven-01_s1,leuven-01,1,12605,5.683,38,26,37028,12605,30.985,38,26,37028,0,0,0,0,12605,300.586,38,26,37028,0,0,0,0
leuven-01_s2,leuven-01,2,13561,5.717,37,19,44907,13561,30.602,37,19,44907,0,0,0,0,13561,301.16,37,19,44907,0,0,0,0
leuven-01_s3,leuven-01,3,16517,5.602,34,18,48874,16517,30.491,34,18,48874,0,0,0,0,16517,300.513,34,18,48874,0,0,0,0
leuven-02_s1,leuven-02,1,10594,5.733,40,30,31058,10594,30.652,40,30,31058,0,0,0,0,10594,300.577,40,30,31058,0,0,0,0
leuven-02_s2,leuven-02,2,9597,6.065,41,24,36071,9597,30.733,41,24,36071,0,0,0,0,9595,300.665,41,26,34134,-0.021,2,2,-1937
leuven-02_s3,leuven-02,3,8679,6.093,42,27,32197,8679,30.799,42,27,32197,0,0,0,0,8667,300.651,42,23,36115,-0.138,10,-4,3918
leuven-03_s1,leuven-03,1,3814,6.801,47,34,20403,3814,30.778,47,34,20403,0,0,0,0,3814,300.7,47,34,20403,0,0,0,0
leuven-03_s2,leuven-03,2,1872,6.25,49,28,24556,1872,30.647,49,28,24556,0,0,0,0,1872,300.842,49,28,24556,0,0,0,0
leuven-03_s3,leuven-03,3,1866,6.477,49,33,19530,1866,30.766,49,33,19530,0,0,0,0,1866,300.738,49,33,19530,0,0,0,0
leuven-04_s1,leuven-04,1,23342,5.717,27,12,61500,23342,30.499,27,12,61500,0,0,0,0,23342,300.458,27,12,61500,0,0,0,0
leuven-04_s2,leuven-04,2,20360,5.8,30,12,58574,20360,30.606,30,12,58574,0,0,0,0,20360,300.471,30,12,58574,0,0,0,0
leuven-04_s3,leuven-04,3,24382,5.62,26,13,61572,24382,30.473,26,13,61572,0,0,0,0,24382,300.656,26,13,61572,0,0,0,0
leuven-05_s1,leuven-05,1,22407,5.589,28,19,53682,22407,30.423,28,19,53682,0,0,0,0,22407,300.536,28,19,53682,0,0,0,0
leuven-05_s2,leuven-05,2,18479,5.742,32,12,56710,18479,30.509,32,12,56710,0,0,0,0,18479,300.461,32,12,56710,0,0,0,0
leuven-05_s3,leuven-05,3,24414,5.577,26,13,61657,24414,30.457,26,13,61657,0,0,0,0,24414,270.801,26,13,61657,0,0,0,0
leuven-06_s1,leuven-06,1,7313,5.598,23,22,55669,7313,30.443,23,22,55669,0,0,0,0,7313,261.41,23,22,55669,0,0,0,0
leuven-06_s2,leuven-06,2,6338,5.498,24,21,55751,6338,30.426,24,21,55751,0,0,0,0,6338,300.469,24,21,55751,0,0,0,0
leuven-06_s3,leuven-06,3,4367,5.72,26,29,45915,4367,30.469,26,29,45915,0,0,0,0,4367,300.449,26,29,45915,0,0,0,0
leuven-07_s1,leuven-07,1,26682,6.067,44,8,48823,26682,30.758,44,8,48823,0,0,0,0,26682,300.695,44,8,48823,0,0,0,0
leuven-07_s2,leuven-07,2,22780,6.585,48,13,40031,22780,30.816,48,13,40031,0,0,0,0,22780,300.638,48,13,40031,0,0,0,0
leuven-07_s3,leuven-07,3,24823,5.992,46,10,45038,24823,30.648,46,10,45038,0,0,0,0,24823,300.751,46,10,45038,0,0,0,0
leuven-08_s1,leuven-08,1,40971,6.732,60,36,105578,40971,31.149,60,36,105578,0,0,0,0,40971,300.943,60,36,105578,0,0,0,0
leuven-08_s2,leuven-08,2,43952,6.844,57,40,104580,43952,31.048,57,40,104580,0,0,0,0,43952,301.03,57,40,104580,0,0,0,0
leuven-08_s3,leuven-08,3,38928,7.244,62,29,110394,38928,31.23,62,29,110394,0,0,0,0,38928,301.179,62,29,110394,0,0,0,0
leuven-09_s1,leuven-09,1,13568,6.027,37,15,48845,13568,30.604,37,15,48845,0,0,0,0,13568,300.837,37,15,48845,0,0,0,0
leuven-09_s2,leuven-09,2,14578,5.575,36,19,46009,14578,30.665,36,19,46009,0,0,0,0,14578,300.59,36,19,46009,0,0,0,0
leuven-09_s3,leuven-09,3,16526,5.531,34,20,47047,16526,30.616,34,20,47047,0,0,0,0,16526,300.753,34,20,47047,0,0,0,0
leuven-10_s1,leuven-10,1,14579,5.919,36,14,50772,14579,30.557,36,14,50772,0,0,0,0,14579,300.529,36,14,50772,0,0,0,0
leuven-10_s2,leuven-10,2,12673,5.598,38,23,40116,12673,30.732,38,23,40116,0,0,0,0,12673,300.73,38,23,40116,0,0,0,0
leuven-10_s3,leuven-10,3,11587,5.594,39,16,45882,11587,30.723,39,16,45882,0,0,0,0,11587,300.775,39,16,45882,0,0,0,0
rand-01_s1,rand-01,1,13411,5.562,27,23,30723,13411,30.407,27,23,30723,0,0,0,0,13411,265.972,27,23,30723,0,0,0,0
rand-01_s2,rand-01,2,12429,5.67,28,22,30827,12429,30.41,28,22,30827,0,0,0,0,12429,275.499,28,22,30827,0,0,0,0
rand-01_s3,rand-01,3,4450,5.901,36,23,21771,4450,30.611,36,23,21771,0,1,0,0,4450,300.568,36,23,21771,0,1,0,0
rand-02_s1,rand-02,1,8834,6.282,42,23,36275,8834,30.699,42,23,36275,0,0,0,0,8834,300.621,42,23,36275,0,0,0,0
rand-02_s2,rand-02,2,10670,6.102,40,21,40119,10670,30.953,40,21,40119,0,0,0,0,10670,300.675,40,21,40119,0,0,0,0
rand-02_s3,rand-02,3,12658,5.976,38,19,43969,12658,30.603,38,19,43969,0,0,0,0,12658,300.614,38,19,43969,0,0,0,0
rand-03_s1,rand-03,1,13568,6.691,48,36,38538,13568,30.855,48,36,38538,0,0,0,0,13568,300.909,48,36,38538,0,0,0,0
rand-03_s2,rand-03,2,17996,5.793,43,26,52818,17996,30.826,43,26,52818,0,0,0,0,17996,300.801,43,26,52818,0,0,0,0
rand-03_s3,rand-03,3,12376,6.065,49,26,47157,12376,30.669,49,26,47157,0,0,0,0,12376,300.924,49,26,47157,0,0,0,0
rand-04_s1,rand-04,1,9571,5.477,21,14,26016,9571,30.404,21,14,26016,0,0,0,0,9571,170.422,21,14,26016,0,0,0,0
rand-04_s2,rand-04,2,7629,5.545,23,16,21993,7629,30.505,23,16,21993,0,0,0,0,7629,203.24,23,16,21993,0,0,0,0
rand-04_s3,rand-04,3,6596,5.41,24,14,22903,6596,30.417,24,14,22903,0,0,0,0,6596,236.901,24,14,22903,0,0,0,0
rand-05_s1,rand-05,1,11793,5.764,39,24,38235,11793,30.649,39,24,38235,0,0,0,0,11793,300.542,39,24,38235,0,0,0,0
rand-05_s2,rand-05,2,11683,5.675,39,18,44072,11683,30.565,39,18,44072,0,0,0,0,11683,300.613,39,18,44072,0,0,0,0
rand-05_s3,rand-05,3,15612,5.695,35,17,48906,15612,30.571,35,17,48906,0,0,0,0,15612,300.533,35,17,48906,0,0,0,0
rand-06_s1,rand-06,1,2707,5.755,38,28,15140,2707,30.537,38,28,15140,0,0,0,0,2707,300.652,38,28,15140,0,0,0,0
rand-06_s2,rand-06,2,697,5.986,40,34,7375,697,30.886,40,34,7375,0,0,0,0,697,300.543,40,34,7375,0,0,0,0
rand-06_s3,rand-06,3,622,5.662,40,33,8137,622,33.766,40,33,8137,0,0,0,0,622,300.505,40,33,8137,0,0,0,0
rand-07_s1,rand-07,1,2161,6.222,49,28,24749,2161,31.327,49,28,24749,0,0,0,0,2161,300.848,49,28,24749,0,0,0,0
rand-07_s2,rand-07,2,983,6.157,50,38,13824,983,30.875,50,38,13824,0,0,0,0,983,300.774,50,38,13824,0,0,0,0
rand-07_s3,rand-07,3,2034,5.814,49,34,18722,2034,30.833,49,34,18722,0,0,0,0,2034,300.779,49,34,18722,0,0,0,0
rand-08_s1,rand-08,1,1924,6.307,60,55,8616,1916,31.37,60,55,8624,-0.416,17,0,8,1916,301.228,60,55,8624,-0.416,17,0,8
rand-08_s2,rand-08,2,1707,7.428,60,53,10736,1703,31.256,60,52,11635,-0.234,15,-1,899,1703,301.181,60,52,11621,-0.234,16,-1,885
rand-08_s3,rand-08,3,1742,6.664,60,49,14468,1742,31.238,60,49,14468,0,0,0,0,1742,301.194,60,49,14468,0,0,0,0
rand-09_s1,rand-09,1,3777,5.527,27,22,12410,3777,30.395,27,22,12410,0,0,0,0,3777,284.594,27,22,12410,0,0,0,0
rand-09_s2,rand-09,2,4723,5.564,26,17,18187,4723,30.413,26,17,18187,0,0,0,0,4723,266.745,26,17,18187,0,0,0,0
rand-09_s3,rand-09,3,4768,5.443,26,18,17208,4768,30.391,26,18,17208,0,0,0,0,4768,264.428,26,18,17208,0,0,0,0
