instance_id,instance,seed,group,setting,vehicles,ptw_width_min,pb_requests,rt_requests,service_hours,three_phase_accepted_pb,three_phase_accepted_rt,three_phase_accepted,fixed_served_pb,fixed_served_rt,fixed_served
leuven-01_s1,leuven-01,1,Leuven,base setting,4,10,50,50,3.0,38,26,64,13,8,21
leuven-01_s2,leuven-01,2,Leuven,base setting,4,10,50,50,3.0,37,19,56,13,8,21
leuven-01_s3,leuven-01,3,Leuven,base setting,4,10,50,50,3.0,34,18,52,10,8,18
leuven-02_s1,leuven-02,1,Leuven,fleet size (5 vehicles),5,10,50,50,3.0,40,30,70,12,7,19
leuven-02_s2,leuven-02,2,Leuven,fleet size (5 vehicles),5,10,50,50,3.0,41,24,65,13,8,21
leuven-02_s3,leuven-02,3,Leuven,fleet size (5 vehicles),5,10,50,50,3.0,42,27,69,11,8,19
leuven-03_s1,leuven-03,1,Leuven,pickup time window width (20 min),4,20,50,50,3.0,47,34,81,22,15,37
leuven-03_s2,leuven-03,2,Leuven,pickup time window width (20 min),4,20,50,50,3.0,49,28,77,20,9,29
leuven-03_s3,leuven-03,3,Leuven,pickup time window width (20 min),4,20,50,50,3.0,49,33,82,15,12,27
leuven-04_s1,leuven-04,1,Leuven,pickup time window width (6 min),4,6,50,50,3.0,27,12,39,8,6,14
leuven-04_s2,leuven-04,2,Leuven,pickup time window width (6 min),4,6,50,50,3.0,30,12,42,8,4,12
leuven-04_s3,leuven-04,3,Leuven,pickup time window width (6 min),4,6,50,50,3.0,26,13,39,3,2,5
leuven-05_s1,leuven-05,1,Leuven,fleet size (3 vehicles),3,10,50,50,3.0,28,19,47,7,4,11
leuven-05_s2,leuven-05,2,Leuven,fleet size (3 vehicles),3,10,50,50,3.0,32,12,44,8,5,13
leuven-05_s3,leuven-05,3,Leuven,fleet size (3 vehicles),3,10,50,50,3.0,26,13,39,7,2,9
leuven-06_s1,leuven-06,1,Leuven,PB:RT share (30:70),4,10,30,70,3.0,23,22,45,6,13,19
leuven-06_s2,leuven-06,2,Leuven,PB:RT share (30:70),4,10,30,70,3.0,24,21,45,7,9,16
leuven-06_s3,leuven-06,3,Leuven,PB:RT share (30:70),4,10,30,70,3.0,26,29,55,8,4,12
leuven-07_s1,leuven-07,1,Leuven,PB:RT share (70:30),4,10,70,30,3.0,44,8,52,15,3,18
leuven-07_s2,leuven-07,2,Leuven,PB:RT share (70:30),4,10,70,30,3.0,48,13,61,15,4,19
leuven-07_s3,leuven-07,3,Leuven,PB:RT share (70:30),4,10,70,30,3.0,46,10,56,10,4,14
leuven-08_s1,leuven-08,1,Leuven,demand volume (100 PB + 100 RT),4,10,100,100,3.0,60,36,96,21,14,35
leuven-08_s2,leuven-08,2,Leuven,demand volume (100 PB + 100 RT),4,10,100,100,3.0,57,40,97,20,11,31
leuven-08_s3,leuven-08,3,Leuven,demand volume (100 PB + 100 RT),4,10,100,100,3.0,62,29,91,18,5,23
leuven-09_s1,leuven-09,1,Leuven,base setting (other requests),4,10,50,50,3.0,37,15,52,11,3,14
leuven-09_s2,leuven-09,2,Leuven,base setting (other requests),4,10,50,50,3.0,36,19,55,5,10,15
leuven-09_s3,leuven-09,3,Leuven,base setting (other requests),4,10,50,50,3.0,34,20,54,8,4,12
leuven-10_s1,leuven-10,1,Leuven,base setting (other requests),4,10,50,50,3.0,36,14,50,9,12,21
leuven-10_s2,leuven-10,2,Leuven,base setting (other requests),4,10,50,50,3.0,38,23,61,13,7,20
leuven-10_s3,leuven-10,3,Leuven,base setting (other requests),4,10,50,50,3.0,39,16,55,7,8,15
rand-01_s1,rand-01,1,random,"random network, 10 min windows",3,10,40,40,2.0,27,23,50,8,4,12
rand-01_s2,rand-01,2,random,"random network, 10 min windows",3,10,40,40,2.0,28,22,50,9,7,16
rand-01_s3,rand-01,3,random,"random network, 10 min windows",3,10,40,40,2.0,36,23,59,4,5,9
rand-02_s1,rand-02,1,random,"random network, 10 min windows",4,10,50,50,3.0,42,23,65,9,5,14
rand-02_s2,rand-02,2,random,"random network, 10 min windows",4,10,50,50,3.0,40,21,61,10,9,19
rand-02_s3,rand-02,3,random,"random network, 10 min windows",4,10,50,50,3.0,38,19,57,8,4,12
rand-03_s1,rand-03,1,random,"random network, 10 min windows",5,10,60,60,4.0,48,36,84,13,7,20
rand-03_s2,rand-03,2,random,"random network, 10 min windows",5,10,60,60,4.0,43,26,69,10,15,25
rand-03_s3,rand-03,3,random,"random network, 10 min windows",5,10,60,60,4.0,49,26,75,9,6,15
rand-04_s1,rand-04,1,random,"random network, 10 min windows",4,10,30,30,5.0,21,14,35,3,4,7
rand-04_s2,rand-04,2,random,"random network, 10 min windows",4,10,30,30,5.0,23,16,39,5,4,9
rand-04_s3,rand-04,3,random,"random network, 10 min windows",4,10,30,30,5.0,24,14,38,3,7,10
rand-05_s1,rand-05,1,random,"random network, 10 min windows",4,10,50,50,3.0,39,24,63,11,5,16
rand-05_s2,rand-05,2,random,"random network, 10 min windows",4,10,50,50,3.0,39,18,57,9,9,18
rand-05_s3,rand-05,3,random,"random network, 10 min windows",4,10,50,50,3.0,35,17,52,11,5,16
rand-06_s1,rand-06,1,random,"random network, 20 min windows",3,20,40,40,2.0,38,28,66,13,3,16
rand-06_s2,rand-06,2,random,"random network, 20 min windows",3,20,40,40,2.0,40,34,74,12,11,23
rand-06_s3,rand-06,3,random,"random network, 20 min windows",3,20,40,40,2.0,40,33,73,12,13,25
rand-07_s1,rand-07,1,random,"random network, 20 min windows",4,20,50,50,3.0,49,28,77,17,10,27
rand-07_s2,rand-07,2,random,"random network, 20 min windows",4,20,50,50,3.0,50,38,88,17,19,36
rand-07_s3,rand-07,3,random,"random network, 20 min windows",4,20,50,50,3.0,49,34,83,20,12,32
rand-08_s1,rand-08,1,random,"random network, 20 min windows",5,20,60,60,4.0,60,55,115,15,10,25
rand-08_s2,rand-08,2,random,"random network, 20 min windows",5,20,60,60,4.0,60,53,113,13,19,32
rand-08_s3,rand-08,3,random,"random network, 20 min windows",5,20,60,60,4.0,60,49,109,12,12,24
rand-09_s1,rand-09,1,random,"random network, 20 min windows",4,20,30,30,5.0,27,22,49,10,5,15
rand-09_s2,rand-09,2,random,"random network, 20 min windows",4,20,30,30,5.0,26,17,43,10,11,21
rand-09_s3,rand-09,3,random,"random network, 20 min windows",4,20,30,30,5.0,26,18,44,7,13,20
rand-10_s1,rand-10,1,random,"random network, 20 min windows",4,20,50,50,3.0,48,30,78,17,9,26
rand-10_s2,rand-10,2,random,"random network, 20 min windows",4,20,50,50,3.0,49,37,86,17,18,35
rand-10_s3,rand-10,3,random,"random network, 20 min windows",4,20,50,50,3.0,48,37,85,19,13,32
