policy,instance_id,instance,seed,three_phase_pb_accepted,policy_pb_accepted,three_phase_rt_accepted,policy_rt_accepted,three_phase_total_accepted,policy_total_accepted,three_phase_objective,policy_objective,proactive_rejections,change_pb_accepted,change_rt_accepted,change_total_accepted,change_objective
buffer_10,leuven-01_s1,leuven-01,1,38,34,26,27,64,61,37028,39879,5,-4,1,-3,2851
buffer_10,leuven-01_s2,leuven-01,2,37,35,19,21,56,56,44907,44946,4,-2,2,0,39
buffer_10,leuven-01_s3,leuven-01,3,34,32,18,19,52,51,48874,49789,10,-2,1,-1,915
buffer_10,leuven-02_s1,leuven-02,1,40,39,30,32,70,71,31058,30033,6,-1,2,1,-1025
buffer_10,leuven-02_s2,leuven-02,2,41,40,24,24,65,64,36071,36972,7,-1,0,-1,901
buffer_10,leuven-02_s3,leuven-02,3,42,39,27,25,69,64,32197,37027,2,-3,-2,-5,4830
buffer_10,leuven-03_s1,leuven-03,1,47,46,34,34,81,80,20403,21437,2,-1,0,-1,1034
buffer_10,leuven-03_s2,leuven-03,2,49,46,28,31,77,77,24556,24493,4,-3,3,0,-63
buffer_10,leuven-03_s3,leuven-03,3,49,48,33,33,82,81,19530,20509,1,-1,0,-1,979
buffer_10,leuven-04_s1,leuven-04,1,27,27,12,15,39,42,61500,58504,9,0,3,3,-2996
buffer_10,leuven-04_s2,leuven-04,2,30,28,12,14,42,42,58574,58547,2,-2,2,0,-27
buffer_10,leuven-04_s3,leuven-04,3,26,26,13,18,39,44,61572,56642,3,0,5,5,-4930
buffer_10,leuven-05_s1,leuven-05,1,28,28,19,22,47,50,53682,50741,4,0,3,3,-2941
buffer_10,leuven-05_s2,leuven-05,2,32,27,12,15,44,42,56710,58622,7,-5,3,-2,1912
buffer_10,leuven-05_s3,leuven-05,3,26,24,13,18,39,42,61657,58652,5,-2,5,3,-3005
buffer_10,leuven-06_s1,leuven-06,1,23,24,22,24,45,48,55669,52711,2,1,2,3,-2958
buffer_10,leuven-06_s2,leuven-06,2,24,23,21,20,45,43,55751,57758,2,-1,-1,-2,2007
buffer_10,leuven-06_s3,leuven-06,3,26,26,29,27,55,53,45915,47868,0,0,-2,-2,1953
buffer_10,leuven-07_s1,leuven-07,1,44,43,8,7,52,50,48823,50730,5,-1,-1,-2,1907
buffer_10,leuven-07_s2,leuven-07,2,48,48,13,13,61,61,40031,40031,0,0,0,0,0
buffer_10,leuven-07_s3,leuven-07,3,46,43,10,8,56,51,45038,49854,7,-3,-2,-5,4816
buffer_10,leuven-08_s1,leuven-08,1,60,58,36,38,96,96,105578,105508,5,-2,2,0,-70
buffer_10,leuven-08_s2,leuven-08,2,57,56,40,32,97,88,104580,113378,4,-1,-8,-9,8798
buffer_10,leuven-08_s3,leuven-08,3,62,56,29,26,91,82,110394,119171,7,-6,-3,-9,8777
buffer_10,leuven-09_s1,leuven-09,1,37,36,15,16,52,52,48845,48811,1,-1,1,0,-34
buffer_10,leuven-09_s2,leuven-09,2,36,34,19,19,55,53,46009,47866,3,-2,0,-2,1857
buffer_10,leuven-09_s3,leuven-09,3,34,32,20,19,54,51,47047,49855,4,-2,-1,-3,2808
buffer_10,leuven-10_s1,leuven-10,1,36,33,14,15,50,48,50772,52717,3,-3,1,-2,1945
buffer_10,leuven-10_s2,leuven-10,2,38,36,23,27,61,63,40116,38094,10,-2,4,2,-2022
buffer_10,leuven-10_s3,leuven-10,3,39,34,16,17,55,51,45882,49852,5,-5,1,-4,3970
buffer_10,rand-01_s1,rand-01,1,27,25,23,23,50,48,30723,32683,4,-2,0,-2,1960
buffer_10,rand-01_s2,rand-01,2,28,28,22,22,50,50,30827,30827,0,0,0,0,0
buffer_10,rand-01_s3,rand-01,3,36,35,23,23,59,58,21771,22757,1,-1,0,-1,986
buffer_10,rand-02_s1,rand-02,1,42,39,23,22,65,61,36275,40187,3,-3,-1,-4,3912
buffer_10,rand-02_s2,rand-02,2,40,36,21,20,61,56,40119,45024,5,-4,-1,-5,4905
buffer_10,rand-02_s3,rand-02,3,38,41,19,29,57,70,43969,31120,2,3,10,13,-12849
buffer_10,rand-03_s1,rand-03,1,48,47,36,36,84,83,38538,39458,3,-1,0,-1,920
buffer_10,rand-03_s2,rand-03,2,43,42,26,25,69,67,52818,54770,9,-1,-1,-2,1952
buffer_10,rand-03_s3,rand-03,3,49,47,26,27,75,74,47157,48090,6,-2,1,-1,933
buffer_10,rand-04_s1,rand-04,1,21,20,14,14,35,34,26016,26994,1,-1,0,-1,978
buffer_10,rand-04_s2,rand-04,2,23,23,16,16,39,39,21993,21993,0,0,0,0,0
buffer_10,rand-04_s3,rand-04,3,24,24,14,14,38,38,22903,22903,0,0,0,0,0
buffer_10,rand-05_s1,rand-05,1,39,36,24,22,63,58,38235,43135,4,-3,-2,-5,4900
buffer_10,rand-05_s2,rand-05,2,39,37,18,19,57,56,44072,45067,5,-2,1,-1,995
buffer_10,rand-05_s3,rand-05,3,35,41,17,28,52,69,48906,32156,1,6,11,17,-16750
buffer_10,rand-06_s1,rand-06,1,38,36,28,27,66,63,15140,18080,4,-2,-1,-3,2940
buffer_10,rand-06_s2,rand-06,2,40,39,34,32,74,71,7375,10214,1,-1,-2,-3,2839
buffer_10,rand-06_s3,rand-06,3,40,40,33,33,73,73,8137,8137,0,0,0,0,0
buffer_10,rand-07_s1,rand-07,1,49,48,28,27,77,75,24749,26656,1,-1,-1,-2,1907
buffer_10,rand-07_s2,rand-07,2,50,49,38,33,88,82,13824,19679,1,-1,-5,-6,5855
buffer_10,rand-07_s3,rand-07,3,49,47,34,38,83,85,18722,16637,3,-2,4,2,-2085
buffer_10,rand-08_s1,rand-08,1,60,60,55,53,115,113,8616,10536,0,0,-2,-2,1920
buffer_10,rand-08_s2,rand-08,2,60,60,53,53,113,113,10736,10659,0,0,0,0,-77
buffer_10,rand-08_s3,rand-08,3,60,60,49,49,109,109,14468,14468,0,0,0,0,0
buffer_10,rand-09_s1,rand-09,1,27,27,22,22,49,49,12410,12410,0,0,0,0,0
buffer_10,rand-09_s2,rand-09,2,26,26,17,17,43,43,18187,18187,0,0,0,0,0
buffer_10,rand-09_s3,rand-09,3,26,27,18,22,44,49,17208,12234,1,1,4,5,-4974
buffer_10,rand-10_s1,rand-10,1,48,45,30,30,78,75,23828,26731,3,-3,0,-3,2903
buffer_10,rand-10_s2,rand-10,2,49,47,37,37,86,84,15820,17750,3,-2,0,-2,1930
buffer_10,rand-10_s3,rand-10,3,48,47,37,37,85,84,16686,17612,1,-1,0,-1,926
buffer_20,leuven-01_s1,leuven-01,1,38,32,26,28,64,60,37028,40834,9,-6,2,-4,3806
buffer_20,leuven-01_s2,leuven-01,2,37,34,19,21,56,55,44907,45936,5,-3,2,-1,1029
buffer_20,leuven-01_s3,leuven-01,3,34,33,18,15,52,48,48874,52832,4,-1,-3,-4,3958
buffer_20,leuven-02_s1,leuven-02,1,40,39,30,29,70,68,31058,33018,7,-1,-1,-2,1960
buffer_20,leuven-02_s2,leuven-02,2,41,41,24,29,65,70,36071,31070,6,0,5,5,-5001
buffer_20,leuven-02_s3,leuven-02,3,42,40,27,23,69,63,32197,38067,3,-2,-4,-6,5870
buffer_20,leuven-03_s1,leuven-03,1,47,47,34,38,81,85,20403,16569,3,0,4,4,-3834
buffer_20,leuven-03_s2,leuven-03,2,49,48,28,28,77,76,24556,25509,2,-1,0,-1,953
buffer_20,leuven-03_s3,leuven-03,3,49,49,33,27,82,76,19530,25492,0,0,-6,-6,5962
buffer_20,leuven-04_s1,leuven-04,1,27,29,12,16,39,45,61500,55545,7,2,4,6,-5955
buffer_20,leuven-04_s2,leuven-04,2,30,29,12,14,42,43,58574,57532,6,-1,2,1,-1042
buffer_20,leuven-04_s3,leuven-04,3,26,20,13,21,39,41,61572,59586,10,-6,8,2,-1986
buffer_20,leuven-05_s1,leuven-05,1,28,26,19,23,47,49,53682,51669,7,-2,4,2,-2013
buffer_20,leuven-05_s2,leuven-05,2,32,30,12,20,44,50,56710,50907,5,-2,8,6,-5803
