instance_id,instance,seed,group,pb_requests,rt_requests,fixed_services,fixed_headway_min,fixed_served,fixed_served_pb,fixed_served_rt,fixed_dtd,fixed_ivt,fixed_objective,three_phase_accepted,three_phase_accepted_pb,three_phase_accepted_rt,three_phase_dtd,three_phase_ivt,three_phase_objective
leuven-01_s1,leuven-01,1,Leuven,50,50,4,18,21,13,8,64,256,79320,64,38,26,197,831,37028
leuven-01_s2,leuven-01,2,Leuven,50,50,4,18,21,13,8,69,256,79325,56,37,19,169,738,44907
leuven-01_s3,leuven-01,3,Leuven,50,50,4,18,18,10,8,59,202,82261,52,34,18,153,721,48874
leuven-02_s1,leuven-02,1,Leuven,50,50,5,13.5,19,12,7,50,229,81279,70,40,30,186,872,31058
leuven-02_s2,leuven-02,2,Leuven,50,50,5,13.5,21,13,8,70,221,79291,65,41,24,182,889,36071
leuven-02_s3,leuven-02,3,Leuven,50,50,5,13.5,19,11,8,58,207,81265,69,42,27,192,1005,32197
leuven-03_s1,leuven-03,1,Leuven,50,50,4,18,37,22,15,194,551,63745,81,47,34,361,1042,20403
leuven-03_s2,leuven-03,2,Leuven,50,50,4,18,29,20,9,156,318,71474,77,49,28,375,1181,24556
leuven-03_s3,leuven-03,3,Leuven,50,50,4,18,27,15,12,134,322,73456,82,49,33,385,1145,19530
leuven-04_s1,leuven-04,1,Leuven,50,50,4,18,14,8,6,29,147,86176,39,27,12,74,426,61500
leuven-04_s2,leuven-04,2,Leuven,50,50,4,18,12,8,4,23,125,88148,42,30,12,66,508,58574
leuven-04_s3,leuven-04,3,Leuven,50,50,4,18,5,3,2,11,64,95075,39,26,13,55,517,61572
leuven-05_s1,leuven-05,1,Leuven,50,50,3,27,11,7,4,34,102,89136,47,28,19,142,540,53682
leuven-05_s2,leuven-05,2,Leuven,50,50,3,27,13,8,5,42,118,87160,44,32,12,119,591,56710
leuven-05_s3,leuven-05,3,Leuven,50,50,3,27,9,7,2,34,115,91149,39,26,13,130,527,61657
leuven-06_s1,leuven-06,1,Leuven,30,70,4,18,19,6,13,46,240,81286,45,23,22,110,559,55669
leuven-06_s2,leuven-06,2,Leuven,30,70,4,18,16,7,9,44,179,84223,45,24,21,134,617,55751
leuven-06_s3,leuven-06,3,Leuven,30,70,4,18,12,8,4,40,113,88153,55,26,29,172,743,45915
leuven-07_s1,leuven-07,1,Leuven,70,30,4,18,18,15,3,55,228,82283,52,44,8,142,681,48823
leuven-07_s2,leuven-07,2,Leuven,70,30,4,18,19,15,4,62,219,81281,61,48,13,175,856,40031
leuven-07_s3,leuven-07,3,Leuven,70,30,4,18,14,10,4,46,113,86159,56,46,10,186,852,45038
leuven-08_s1,leuven-08,1,Leuven,100,100,4,18,35,21,14,91,498,165589,96,60,36,261,1317,105578
leuven-08_s2,leuven-08,2,Leuven,100,100,4,18,31,20,11,90,386,169476,97,57,40,262,1318,104580
leuven-08_s3,leuven-08,3,Leuven,100,100,4,18,23,18,5,73,326,177399,91,62,29,252,1142,110394
leuven-09_s1,leuven-09,1,Leuven,50,50,4,18,14,11,3,46,214,86260,52,37,15,152,693,48845
leuven-09_s2,leuven-09,2,Leuven,50,50,4,18,15,5,10,51,239,85290,55,36,19,158,851,46009
leuven-09_s3,leuven-09,3,Leuven,50,50,4,18,12,8,4,29,135,88164,54,34,20,167,880,47047
leuven-10_s1,leuven-10,1,Leuven,50,50,4,18,21,9,12,55,265,79320,50,36,14,149,623,50772
leuven-10_s2,leuven-10,2,Leuven,50,50,4,18,20,13,7,53,263,80316,61,38,23,171,945,40116
leuven-10_s3,leuven-10,3,Leuven,50,50,4,18,15,7,8,41,220,85261,55,39,16,141,741,45882
rand-01_s1,rand-01,1,random,40,40,3,12,12,8,4,25,154,68179,50,27,23,117,606,30723
rand-01_s2,rand-01,2,random,40,40,3,12,16,9,7,46,130,64176,50,28,22,115,712,30827
rand-01_s3,rand-01,3,random,40,40,3,12,9,4,5,24,99,71123,59,36,23,111,660,21771
rand-02_s1,rand-02,1,random,50,50,4,19.667,14,9,5,35.333,161,86196.333,65,42,23,195,1080,36275
rand-02_s2,rand-02,2,random,50,50,4,19.667,19,10,9,47,217,81264,61,40,21,194,925,40119
rand-02_s3,rand-02,3,random,50,50,4,19.667,12,8,4,35,129,88164,57,38,19,176,793,43969
rand-03_s1,rand-03,1,random,60,60,5,9.75,20,13,7,56,493,100549,84,48,36,190,2348,38538
rand-03_s2,rand-03,2,random,60,60,5,9.75,25,10,15,65.25,481,95546.25,69,43,26,161,1657,52818
rand-03_s3,rand-03,3,random,60,60,5,9.75,15,9,6,30.75,391,105421.75,75,49,26,216,1941,47157
rand-04_s1,rand-04,1,random,30,30,4,42,7,3,4,17,105,53122,35,21,14,78,938,26016
rand-04_s2,rand-04,2,random,30,30,4,42,9,5,4,20,225,51245,39,23,16,100,893,21993
rand-04_s3,rand-04,3,random,30,30,4,42,10,3,7,24,229,50253,38,24,14,67,836,22903
rand-05_s1,rand-05,1,random,50,50,4,19,16,11,5,47,212,84259,63,39,24,185,1050,38235
rand-05_s2,rand-05,2,random,50,50,4,19,18,9,9,50,203,82253,57,39,18,176,896,44072
rand-05_s3,rand-05,3,random,50,50,4,19,16,11,5,51,239,84290,52,35,17,149,757,48906
rand-06_s1,rand-06,1,random,40,40,3,12,16,13,3,60,187,64247,66,38,28,278,862,15140
rand-06_s2,rand-06,2,random,40,40,3,12,23,12,11,87,228,57315,74,40,34,359,1016,7375
rand-06_s3,rand-06,3,random,40,40,3,12,25,12,13,105,298,55403,73,40,33,278,859,8137
rand-07_s1,rand-07,1,random,50,50,4,19.667,27,17,10,148.333,393,73541.333,77,49,28,457,1292,24749
rand-07_s2,rand-07,2,random,50,50,4,19.667,36,17,19,182,449,64631,88,50,38,461,1363,13824
rand-07_s3,rand-07,3,random,50,50,4,19.667,32,20,12,188,423,68611,83,49,34,485,1237,18722
rand-08_s1,rand-08,1,random,60,60,5,9.75,25,15,10,73,652,95725,115,60,55,404,3212,8616
rand-08_s2,rand-08,2,random,60,60,5,9.75,32,13,19,94.25,699,88793.25,113,60,53,495,3241,10736
rand-08_s3,rand-08,3,random,60,60,5,9.75,24,12,12,82.5,558,96640.5,109,60,49,456,3012,14468
rand-09_s1,rand-09,1,random,30,30,4,42,15,10,5,98,312,45410,49,27,22,200,1210,12410
rand-09_s2,rand-09,2,random,30,30,4,42,21,10,11,110,473,39583,43,26,17,134,1053,18187
rand-09_s3,rand-09,3,random,30,30,4,42,20,7,13,106,450,40556,44,26,18,220,988,17208
rand-10_s1,rand-10,1,random,50,50,4,19,26,17,9,157,380,74537,78,48,30,467,1361,23828
rand-10_s2,rand-10,2,random,50,50,4,19,35,17,18,187,463,65650,86,49,37,452,1368,15820
rand-10_s3,rand-10,3,random,50,50,4,19,32,19,13,181,481,68662,85,48,37,355,1331,16686
