instance_id,instance,seed,gurobi_status,gurobi_result_source,gurobi_accepted,gurobi_rejected,gurobi_dtd,gurobi_ivt,gurobi_objective,gurobi_time_s,lns_accepted,lns_rejected,lns_dtd,lns_ivt,lns_objective,lns_time_s,obj_gap_pct
leuven-01_s1,leuven-01,1,optimal,r1,38,12,123,482,12605,100.088,38,12,123,482,12605,5.683,0
leuven-01_s2,leuven-01,2,optimal,revision,37,13,122,439,13561,162.132,37,13,122,439,13561,5.717,0
leuven-01_s3,leuven-01,3,optimal,revision,34,16,97,420,16517,60.364,34,16,97,420,16517,5.602,0
leuven-02_s1,leuven-02,1,not_run,,,,,,,,40,10,116,478,10594,5.733,
leuven-02_s2,leuven-02,2,not_run,,,,,,,,41,9,119,478,9597,6.065,
leuven-02_s3,leuven-02,3,not_run,,,,,,,,42,8,113,566,8679,6.093,
leuven-03_s1,leuven-03,1,not_run,,,,,,,,47,3,228,586,3814,6.801,
leuven-03_s2,leuven-03,2,not_run,,,,,,,,49,1,227,645,1872,6.25,
leuven-03_s3,leuven-03,3,not_run,,,,,,,,49,1,213,653,1866,6.477,
leuven-04_s1,leuven-04,1,optimal,r1,27,23,50,292,23342,22.531,27,23,50,292,23342,5.717,0
leuven-04_s2,leuven-04,2,optimal,revision,30,20,43,317,20360,19.031,30,20,43,317,20360,5.8,0
leuven-04_s3,leuven-04,3,optimal,revision,26,24,44,338,24382,20.617,26,24,44,338,24382,5.62,0
leuven-05_s1,leuven-05,1,optimal,r1,28,22,94,313,22407,10.524,28,22,94,313,22407,5.589,0
leuven-05_s2,leuven-05,2,optimal,revision,32,18,92,387,18479,11.037,32,18,92,387,18479,5.742,0
leuven-05_s3,leuven-05,3,optimal,revision,26,24,88,326,24414,9.688,26,24,88,326,24414,5.577,0
leuven-06_s1,leuven-06,1,optimal,r1,23,7,57,255,7312,29.981,23,7,58,255,7313,5.598,0.0137
leuven-06_s2,leuven-06,2,optimal,revision,24,6,77,261,6338,21.882,24,6,77,261,6338,5.498,0
leuven-06_s3,leuven-06,3,optimal,revision,26,4,71,294,4365,15.099,26,4,73,294,4367,5.72,0.0458
leuven-07_s1,leuven-07,1,optimal,r1,44,26,118,564,26682,263.565,44,26,118,564,26682,6.067,0
leuven-07_s2,leuven-07,2,optimal,revision,48,22,137,643,22780,140.429,48,22,137,643,22780,6.585,0
leuven-07_s3,leuven-07,3,optimal,revision,46,24,149,674,24823,127.676,46,24,149,674,24823,5.992,0
leuven-08_s1,leuven-08,1,optimal,r1,60,40,167,804,40971,1475.044,60,40,167,804,40971,6.732,0
leuven-08_s2,leuven-08,2,optimal,revision,57,43,149,802,43951,709.752,57,43,148,804,43952,6.844,0.0023
leuven-08_s3,leuven-08,3,optimal,revision,62,38,173,755,38928,502.287,62,38,173,755,38928,7.244,0
leuven-09_s1,leuven-09,1,optimal,r1,37,13,114,454,13568,38.111,37,13,114,454,13568,6.027,0
leuven-09_s2,leuven-09,2,optimal,revision,36,14,98,479,14577,28.168,36,14,99,479,14578,5.575,0.0069
leuven-09_s3,leuven-09,3,not_run,,,,,,,,34,16,103,423,16526,5.531,
leuven-10_s1,leuven-10,1,optimal,r1,36,14,119,460,14579,165.779,36,14,119,460,14579,5.919,0
leuven-10_s2,leuven-10,2,not_run,,,,,,,,38,12,106,567,12673,5.598,
leuven-10_s3,leuven-10,3,not_run,,,,,,,,39,11,102,485,11587,5.594,
rand-01_s1,rand-01,1,optimal,revision,27,13,65,346,13411,6.027,27,13,65,346,13411,5.562,0
rand-01_s2,rand-01,2,optimal,revision,28,12,71,358,12429,22.352,28,12,71,358,12429,5.67,0
rand-01_s3,rand-01,3,optimal,revision,36,4,63,387,4450,29.287,36,4,65,385,4450,5.901,0
rand-02_s1,rand-02,1,optimal,revision,39,11,103,642,11745,15.072,42,8,128,706,8834,6.282,-24.785
rand-02_s2,rand-02,2,optimal,revision,40,10,126,544,10670,38.147,40,10,126,544,10670,6.102,0
rand-02_s3,rand-02,3,optimal,revision,38,12,126,531,12657,16.641,38,12,127,531,12658,5.976,0.0079
rand-03_s1,rand-03,1,optimal,revision,48,12,111,1457,13568,689.968,48,12,111,1457,13568,6.691,0
rand-03_s2,rand-03,2,optimal,revision,43,17,98,898,17996,106.386,43,17,98,898,17996,5.793,0
rand-03_s3,rand-03,3,optimal,revision,49,11,152,1224,12376,524.482,49,11,151,1225,12376,6.065,0
rand-04_s1,rand-04,1,optimal,revision,21,9,48,523,9571,23.331,21,9,48,523,9571,5.477,0
rand-04_s2,rand-04,2,optimal,revision,23,7,60,568,7628,7.403,23,7,61,568,7629,5.545,0.0131
rand-04_s3,rand-04,3,optimal,revision,24,6,41,555,6596,4.803,24,6,41,555,6596,5.41,0
rand-05_s1,rand-05,1,optimal,revision,39,11,112,681,11793,168.444,39,11,112,681,11793,5.764,0
rand-05_s2,rand-05,2,optimal,revision,39,11,118,565,11683,21.934,39,11,118,565,11683,5.675,0
rand-05_s3,rand-05,3,optimal,revision,35,15,110,502,15612,7.935,35,15,110,502,15612,5.695,0
rand-06_s1,rand-06,1,optimal,revision,38,2,164,539,2703,239.292,38,2,173,534,2707,5.755,0.148
rand-06_s2,rand-06,2,optimal,revision,40,0,204,493,697,52.653,40,0,204,493,697,5.986,0
rand-06_s3,rand-06,3,optimal,revision,40,0,141,476,617,30.513,40,0,144,478,622,5.662,0.8104
rand-07_s1,rand-07,1,optimal,revision,46,4,274,761,5035,118.574,49,1,304,857,2161,6.222,-57.0804
rand-07_s2,rand-07,2,not_run,,,,,,,,50,0,263,720,983,6.157,
rand-07_s3,rand-07,3,not_run,,,,,,,,49,1,293,741,2034,5.814,
rand-08_s1,rand-08,1,not_run,,,,,,,,60,0,180,1744,1924,6.307,
rand-08_s2,rand-08,2,not_run,,,,,,,,60,0,181,1526,1707,7.428,
rand-08_s3,rand-08,3,not_run,,,,,,,,60,0,215,1527,1742,6.664,
rand-09_s1,rand-09,1,optimal,revision,27,3,109,666,3775,22.364,27,3,111,666,3777,5.527,0.053
rand-09_s2,rand-09,2,optimal,revision,24,6,119,596,6715,7.761,26,4,81,642,4723,5.564,-29.6649
rand-09_s3,rand-09,3,optimal,revision,26,4,145,623,4768,10.807,26,4,145,623,4768,5.443,0
rand-10_s1,rand-10,1,optimal,revision,45,5,280,783,6063,255.616,48,2,296,886,3182,5.878,-47.5177
rand-10_s2,rand-10,2,not_run,,,,,,,,49,1,271,728,1999,5.752,
rand-10_s3,rand-10,3,not_run,,,,,,,,48,2,204,730,2934,5.866,
