instance_id,instance,seed,gurobi_status,gurobi_result_source,gurobi_accepted,gurobi_rejected,gurobi_dtd,gurobi_ivt,gurobi_objective,gurobi_time_s,lns_accepted,lns_rejected,lns_dtd,lns_ivt,lns_objective,lns_time_s,obj_gap_pct
leuven-01_s1,leuven-01,1,optimal,r1,38,12,123,482,12605,3235.227,38,12,123,482,12605,102.223,0
leuven-01_s2,leuven-01,2,optimal,revision,37,13,122,439,13561,1176.586,37,13,122,439,13561,112.823,0
leuven-01_s3,leuven-01,3,optimal,revision,34,16,97,420,16517,855.293,34,16,97,420,16517,126.386,0
leuven-02_s1,leuven-02,1,time_limit,r1,,,,,,,40,10,116,478,10594,105.051,
leuven-02_s2,leuven-02,2,time_limit,revision,,,,,,,41,9,119,478,9597,121.678,
leuven-02_s3,leuven-02,3,time_limit,revision,,,,,,,42,8,114,567,8681,97.165,
leuven-03_s1,leuven-03,1,time_limit,r1,,,,,,,47,3,228,586,3814,72.658,
leuven-03_s2,leuven-03,2,time_limit,revision,,,,,,,49,1,227,645,1872,89.034,
leuven-03_s3,leuven-03,3,time_limit,revision,,,,,,,49,1,213,653,1866,69.835,
leuven-04_s1,leuven-04,1,optimal,r1,27,23,50,292,23342,468.503,27,23,50,292,23342,174.877,0
leuven-04_s2,leuven-04,2,optimal,revision,30,20,43,317,20360,261.833,30,20,43,317,20360,174.345,0
leuven-04_s3,leuven-04,3,optimal,revision,26,24,44,338,24382,259.902,26,24,44,338,24382,174.605,0
leuven-05_s1,leuven-05,1,optimal,r1,28,22,94,313,22407,285.413,28,22,94,313,22407,156.301,0
leuven-05_s2,leuven-05,2,optimal,revision,32,18,92,387,18479,172.946,32,18,92,387,18479,155.755,0
leuven-05_s3,leuven-05,3,optimal,revision,26,24,88,326,24414,137.367,26,24,88,326,24414,162.012,0
leuven-06_s1,leuven-06,1,optimal,r1,23,7,57,255,7312,191.956,23,7,58,255,7313,60.138,0.0137
leuven-06_s2,leuven-06,2,optimal,revision,24,6,77,261,6338,210.696,24,6,77,261,6338,73.143,0
leuven-06_s3,leuven-06,3,optimal,revision,26,4,71,294,4365,133.56,26,4,73,294,4367,49.03,0.0458
leuven-07_s1,leuven-07,1,optimal,r1,44,26,118,564,26682,4080.26,44,26,118,564,26682,251.366,0
leuven-07_s2,leuven-07,2,optimal,revision,48,22,137,643,22780,2678.22,48,22,137,643,22780,244.73,0
leuven-07_s3,leuven-07,3,optimal,revision,46,24,149,674,24823,1795.409,46,24,149,674,24823,201.761,0
leuven-08_s1,leuven-08,1,optimal,r1,60,40,167,804,40971,9063.586,60,40,167,804,40971,404.066,0
leuven-08_s2,leuven-08,2,optimal,revision,57,43,149,802,43951,6530.48,57,43,148,804,43952,468.157,0.0023
