instance_id,instance,seed,pb_accepted,pb_rejected,rt_requests,full_status,full_result_source,full_rt_accepted,full_rt_rejected,full_solver_time_s,full_wall_time_s,full_max_epoch_s,full_avg_epoch_s,full_epochs,full_total_accepted,full_objective,compressed_rt_accepted,compressed_rt_rejected,compressed_solver_time_s,compressed_wall_time_s,compressed_max_epoch_s,compressed_avg_epoch_s,compressed_epochs,compressed_total_accepted,compressed_objective
leuven-01_s1,leuven-01,1,38,12,50,completed,r1,26,24,412.032,419.616,204.216,9.81,42,64,36376,26,24,1.4,2.857,0.113,0.034,41,64,37028
leuven-01_s2,leuven-01,2,37,13,50,completed,revision,19,31,273.841,280.203,222.399,6.368,43,56,44312,19,31,2.58,5.232,0.123,0.06,43,56,44907
leuven-01_s3,leuven-01,3,34,16,50,completed,revision,19,31,112.099,115.185,38.945,2.802,40,53,47321,18,32,2.504,4.8,0.138,0.063,40,52,48874
leuven-02_s1,leuven-02,1,40,10,50,completed,r1,31,19,1275.64,1283.858,645.724,30.372,42,71,29356,30,20,2.413,5.226,0.143,0.059,41,70,31058
leuven-02_s2,leuven-02,2,41,9,50,completed,revision,26,24,377.031,381.155,308.893,8.768,43,67,33399,24,26,2.225,4.547,0.133,0.052,43,65,36071
leuven-02_s3,leuven-02,3,42,8,50,completed,revision,26,24,260.341,264.418,148.181,6.509,40,68,32439,27,23,2.625,5.386,0.13,0.066,40,69,32197
leuven-03_s1,leuven-03,1,47,3,50,completed,r1,34,16,521.677,529.203,135.778,12.421,42,81,19411,34,16,1.505,3.051,0.188,0.037,41,81,20403
leuven-03_s2,leuven-03,2,49,1,50,completed,revision,29,21,1415.951,1419.73,1218.823,32.929,43,78,22489,28,22,1.67,3.516,0.092,0.039,43,77,24556
leuven-03_s3,leuven-03,3,49,1,50,completed,revision,33,17,262.349,265.823,143.711,6.559,40,82,18641,33,17,1.79,3.527,0.11,0.045,40,82,19530
leuven-04_s1,leuven-04,1,27,23,50,completed,r1,12,38,112.415,119.177,13.98,2.677,42,39,61147,12,38,1.908,3.588,0.117,0.047,41,39,61500
leuven-04_s2,leuven-04,2,30,20,50,completed,revision,12,38,54.9,57.911,41.975,1.277,43,42,58266,12,38,1.773,3.491,0.108,0.041,43,42,58574
leuven-04_s3,leuven-04,3,26,24,50,completed,revision,13,37,24.983,27.814,11.666,0.625,40,39,61211,13,37,1.714,3.427,0.135,0.043,40,39,61572
leuven-05_s1,leuven-05,1,28,22,50,completed,r1,19,31,40.687,46.306,10.596,0.969,42,47,53174,19,31,1.2,2.334,0.057,0.029,41,47,53682
leuven-05_s2,leuven-05,2,32,18,50,completed,revision,12,38,7.851,10.272,7.296,0.183,43,44,56332,12,38,1.325,2.609,0.054,0.031,43,44,56710
leuven-05_s3,leuven-05,3,26,24,50,completed,revision,13,37,28.267,30.527,6.367,0.707,40,39,61221,13,37,1.248,2.373,0.069,0.031,40,39,61657
leuven-06_s1,leuven-06,1,23,7,70,completed,r1,22,48,133.847,142.955,15.182,2.39,56,45,55125,22,48,2.647,5.202,0.104,0.048,55,45,55669
leuven-06_s2,leuven-06,2,24,6,70,completed,revision,20,50,31.757,35.463,7.569,0.577,55,44,56235,21,49,2.512,5.184,0.079,0.046,55,45,55751
leuven-06_s3,leuven-06,3,26,4,70,completed,revision,28,42,29.152,32.834,10.431,0.55,53,54,46208,29,41,2.223,4.679,0.078,0.042,53,55,45915
leuven-07_s1,leuven-07,1,44,26,30,completed,r1,8,22,1060.522,1065.247,482.093,39.279,27,52,48219,8,22,1.079,2.092,0.068,0.042,26,52,48823
leuven-07_s2,leuven-07,2,48,22,30,completed,revision,13,17,86.764,89.057,74.693,3.099,28,61,39429,13,17,1.051,2.145,0.065,0.038,28,61,40031
leuven-07_s3,leuven-07,3,46,24,30,completed,revision,11,19,118.514,120.523,89.015,4.741,25,57,43554,10,20,1.067,2.139,0.074,0.043,25,56,45038
leuven-08_s1,leuven-08,1,60,40,100,completed,r1,36,64,3247.433,3278.898,835.733,45.103,72,96,104285,36,64,5.143,11.133,0.126,0.073,71,96,105578
leuven-08_s2,leuven-08,2,57,43,100,completed,revision,40,60,206.652,212.863,128.104,2.87,72,97,103547,40,60,4.637,10.148,0.121,0.064,72,97,104580
leuven-08_s3,leuven-08,3,62,38,100,completed,revision,30,70,184.298,189.826,52.274,2.925,63,92,108298,29,71,4.424,9.729,0.125,0.07,63,91,110394
leuven-09_s1,leuven-09,1,37,13,50,completed,r1,15,35,311.88,327.873,54.924,6.78,46,52,48101,15,35,2.056,4.082,0.086,0.046,45,52,48845
leuven-09_s2,leuven-09,2,36,14,50,completed,revision,19,31,1361.152,1364.125,1334.623,31.655,43,55,45451,19,31,2.766,5.408,0.13,0.064,43,55,46009
leuven-09_s3,leuven-09,3,34,16,50,completed,revision,22,28,60.941,65.345,37.279,1.524,40,56,44213,20,30,2.833,5.721,0.11,0.071,40,54,47047
leuven-10_s1,leuven-10,1,36,14,50,completed,r1,14,36,325.549,340.797,222.976,7.571,43,50,50217,14,36,1.538,3.096,0.092,0.037,42,50,50772
leuven-10_s2,leuven-10,2,38,12,50,completed,revision,23,27,84.322,88.503,37.087,2.057,41,61,39401,23,27,2.603,5.327,0.109,0.064,41,61,40116
leuven-10_s3,leuven-10,3,39,11,50,completed,revision,16,34,187.935,192.46,123.197,4.475,42,55,45474,16,34,2.844,5.672,0.1,0.068,42,55,45882
rand-01_s1,rand-01,1,27,13,40,completed,revision,23,17,23.441,24.886,4.619,0.71,33,50,30491,23,17,0.969,1.846,0.079,0.029,33,50,30723
rand-01_s2,rand-01,2,28,12,40,completed,revision,22,18,15.798,17.228,5.123,0.51,31,50,30329,22,18,0.699,1.276,0.065,0.022,31,50,30827
rand-01_s3,rand-01,3,36,4,40,completed,revision,23,17,69.379,71.066,16.61,2.238,31,59,21301,23,17,0.711,1.306,0.048,0.023,31,59,21771
rand-02_s1,rand-02,1,42,8,50,completed,revision,23,27,84.909,87.677,9.962,2.123,40,65,35160,23,27,1.345,2.589,0.063,0.033,40,65,36275
rand-02_s2,rand-02,2,40,10,50,completed,revision,21,29,69.131,71.902,12.597,1.728,40,61,39307,21,29,1.302,2.481,0.067,0.033,40,61,40119
