instance_id,instance,seed,requests,three_phase_accepted,pb_all_known_accepted,rt_all_known_accepted,full_information_accepted,full_information_accepted_pb,full_information_accepted_rt,gap_pb,gap_rt,gap_commitment,gap_total
leuven-01_s1,leuven-01,1,100,64,65,65,75,38,37,1,1,9,11
leuven-01_s2,leuven-01,2,100,56,62,56,71,32,39,6,0,9,15
leuven-01_s3,leuven-01,3,100,52,61,57,73,35,38,9,5,7,21
leuven-02_s1,leuven-02,1,100,70,71,73,84,40,44,1,3,10,14
leuven-02_s2,leuven-02,2,100,65,70,68,80,39,41,5,3,7,15
leuven-02_s3,leuven-02,3,100,69,66,71,83,38,45,-3,2,15,14
leuven-03_s1,leuven-03,1,100,81,84,82,95,45,50,3,1,10,14
leuven-03_s2,leuven-03,2,100,77,80,79,92,46,46,3,2,10,15
leuven-03_s3,leuven-03,3,100,82,82,83,97,48,49,0,1,14,15
leuven-04_s1,leuven-04,1,100,39,52,41,62,34,28,13,2,8,23
leuven-04_s2,leuven-04,2,100,42,51,43,61,28,33,9,1,9,19
leuven-04_s3,leuven-04,3,100,39,45,40,59,28,31,6,1,13,20
leuven-05_s1,leuven-05,1,100,47,54,48,63,30,33,7,1,8,16
leuven-05_s2,leuven-05,2,100,44,53,44,63,29,34,9,0,10,19
leuven-05_s3,leuven-05,3,100,39,52,42,60,31,29,13,3,5,21
leuven-06_s1,leuven-06,1,100,45,51,54,75,22,53,6,9,15,30
leuven-06_s2,leuven-06,2,100,45,52,44,73,21,52,7,-1,22,28
leuven-06_s3,leuven-06,3,100,55,59,56,71,22,49,4,1,11,16
leuven-07_s1,leuven-07,1,100,52,58,54,71,47,24,6,2,11,19
leuven-07_s2,leuven-07,2,100,61,64,61,73,52,21,3,0,9,12
leuven-07_s3,leuven-07,3,100,56,68,57,74,55,19,12,1,5,18
leuven-08_s1,leuven-08,1,200,96,116,97,123,68,55,20,1,6,27
leuven-08_s2,leuven-08,2,200,97,105,97,126,57,69,8,0,21,29
leuven-08_s3,leuven-08,3,200,91,112,92,129,62,67,21,1,16,38
leuven-09_s1,leuven-09,1,100,52,58,57,75,35,40,6,5,12,23
leuven-09_s2,leuven-09,2,100,55,60,57,74,37,37,5,2,12,19
leuven-09_s3,leuven-09,3,100,54,57,57,70,37,33,3,3,10,16
leuven-10_s1,leuven-10,1,100,50,52,51,69,30,39,2,1,16,19
leuven-10_s2,leuven-10,2,100,61,66,62,73,37,36,5,1,6,12
leuven-10_s3,leuven-10,3,100,55,63,58,74,41,33,8,3,8,19
rand-01_s1,rand-01,1,80,50,51,50,63,29,34,1,0,12,13
rand-01_s2,rand-01,2,80,50,60,51,62,32,30,10,1,1,12
rand-01_s3,rand-01,3,80,59,59,59,69,34,35,0,0,10,10
rand-02_s1,rand-02,1,100,65,66,65,74,38,36,1,0,8,9
rand-02_s2,rand-02,2,100,61,59,61,71,37,34,-2,0,12,10
rand-02_s3,rand-02,3,100,57,70,58,78,38,40,13,1,7,21
rand-03_s1,rand-03,1,120,84,96,84,107,51,56,12,0,11,23
rand-03_s2,rand-03,2,120,69,88,74,106,53,53,19,5,13,37
rand-03_s3,rand-03,3,120,75,85,76,102,52,50,10,1,16,27
rand-04_s1,rand-04,1,60,35,38,38,43,20,23,3,3,2,8
rand-04_s2,rand-04,2,60,39,37,39,43,22,21,-2,0,6,4
rand-04_s3,rand-04,3,60,38,36,38,41,23,18,-2,0,5,3
rand-05_s1,rand-05,1,100,63,68,63,72,34,38,5,0,4,9
rand-05_s2,rand-05,2,100,57,57,58,70,36,34,0,1,12,13
rand-05_s3,rand-05,3,100,52,69,53,77,37,40,17,1,7,25
rand-06_s1,rand-06,1,80,66,68,66,79,40,39,2,0,11,13
rand-06_s2,rand-06,2,80,74,74,74,78,39,39,0,0,4,4
rand-06_s3,rand-06,3,80,73,73,75,78,39,39,0,2,3,5
rand-07_s1,rand-07,1,100,77,78,79,93,46,47,1,2,13,16
rand-07_s2,rand-07,2,100,88,88,91,92,48,44,0,3,1,4
rand-07_s3,rand-07,3,100,83,83,83,94,46,48,0,0,11,11
rand-08_s1,rand-08,1,120,115,114,116,120,60,60,-1,1,5,5
rand-08_s2,rand-08,2,120,113,109,118,120,60,60,-4,5,6,7
rand-08_s3,rand-08,3,120,109,107,113,120,60,60,-2,4,9,11
rand-09_s1,rand-09,1,60,49,49,50,52,27,25,0,1,2,3
rand-09_s2,rand-09,2,60,43,44,47,53,26,27,1,4,5,10
rand-09_s3,rand-09,3,60,44,46,46,53,27,26,2,2,5,9
rand-10_s1,rand-10,1,100,78,84,78,93,45,48,6,0,9,15
rand-10_s2,rand-10,2,100,86,84,90,91,48,43,-2,4,3,5
rand-10_s3,rand-10,3,100,85,84,90,94,46,48,-1,5,5,9
