order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,0,-3828,44,46,483,480,486,accepted
2,1,-3805,34,47,428,425,431,accepted
3,2,-3761,39,50,526,523,529,accepted
4,3,-3590,31,36,467,464,470,accepted
5,4,-3586,47,48,504,501,507,accepted
6,5,-3529,33,44,491,488,494,accepted
7,6,-3420,18,24,434,431,437,accepted
8,7,-3371,39,40,525,522,528,accepted
9,8,-3357,33,50,478,475,481,rejected
10,9,-3270,35,38,511,508,514,accepted
11,10,-3160,33,48,435,432,438,accepted
12,11,-3140,9,25,417,414,420,accepted
13,12,-3136,43,44,497,494,500,accepted
14,13,-3108,32,36,481,478,484,accepted
15,14,-3042,30,41,503,500,506,rejected
16,15,-3038,37,47,487,484,490,accepted
17,16,-2853,17,20,413,410,416,accepted
18,17,-2839,30,49,421,418,424,accepted
19,18,-2794,32,41,500,497,503,rejected
20,19,-2624,8,16,460,457,463,accepted
21,20,-2586,26,35,476,473,479,accepted
22,21,-2498,29,43,477,474,480,accepted
23,22,-2416,38,42,521,518,524,accepted
24,23,-2377,6,16,458,455,461,accepted
25,24,-2345,42,44,448,445,451,rejected
26,25,-2334,34,43,428,425,431,accepted
27,26,-2318,38,41,458,455,461,rejected
28,27,-2246,5,19,466,463,469,rejected
29,28,-2134,33,35,474,471,477,rejected
30,29,-2061,17,23,476,473,479,accepted
31,30,-2024,45,48,506,503,509,rejected
32,31,-2006,38,49,516,513,519,rejected
33,32,-1977,16,19,485,482,488,rejected
34,33,-1877,26,31,483,480,486,rejected
35,34,-1876,36,47,460,457,463,rejected
36,35,-1768,48,49,515,512,518,accepted
37,36,-1754,6,11,481,478,484,rejected
38,37,-1478,5,20,459,456,462,accepted
39,38,-1419,30,38,511,508,514,accepted
40,39,-1417,42,46,504,501,507,rejected
41,40,-1324,33,49,450,447,453,rejected
42,41,-1306,41,46,507,504,510,rejected
43,42,-1285,9,16,451,448,454,rejected
44,43,-1228,33,39,460,457,463,rejected
45,44,-1220,46,49,459,456,462,rejected
46,45,-1158,36,49,478,475,481,rejected
47,46,-1151,29,44,487,484,490,rejected
48,47,-1151,18,20,413,410,416,accepted
49,48,-1119,35,41,502,499,505,rejected
50,49,-1068,27,39,480,477,483,rejected
