request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
0,PB,-3835,accepted,36,43,467,462.0,472.0,3,1,463,480,463,468,4,17
1,PB,-3781,accepted,32,48,514,509.0,519.0,1,2,509,536,509,514,5,27
2,PB,-3674,accepted,30,37,508,503.0,513.0,1,2,508,514,506,511,0,6
3,PB,-3663,accepted,41,44,527,522.0,532.0,1,2,528,533,525,530,1,5
4,PB,-3636,accepted,38,42,504,499.0,509.0,4,2,507,517,504,509,3,10
5,PB,-3503,accepted,39,40,489,484.0,494.0,2,2,493,497,489,494,4,4
6,PB,-3131,accepted,26,34,458,453.0,463.0,3,1,453,460,453,458,5,7
7,PB,-3026,accepted,1,18,457,452.0,462.0,4,2,456,475,453,458,1,19
8,PB,-2852,accepted,19,24,489,484.0,494.0,1,2,493,496,489,494,4,3
9,PB,-2658,accepted,30,38,499,494.0,504.0,4,2,496,506,496,501,3,10
10,PB,-2631,accepted,27,41,504,499.0,509.0,1,2,505,527,502,507,1,22
11,PB,-2610,accepted,20,22,398,393.0,403.0,4,1,398,404,396,401,0,6
12,PB,-2566,accepted,30,39,480,475.0,485.0,2,2,480,492,478,483,0,12
13,PB,-2345,accepted,42,44,448,443.0,453.0,4,1,443,446,443,448,5,3
14,PB,-2333,accepted,41,47,475,470.0,480.0,3,1,478,487,474,479,3,9
15,PB,-2315,accepted,30,48,476,471.0,481.0,2,2,480,509,476,481,4,29
16,PB,-2277,accepted,33,45,444,439.0,449.0,1,1,441,459,441,446,3,18
17,PB,-2119,accepted,11,15,450,445.0,455.0,2,2,447,460,447,452,3,13
18,PB,-1991,accepted,37,40,419,414.0,424.0,2,1,414,425,414,419,5,11
19,PB,-1599,accepted,14,21,467,462.0,472.0,4,2,471,477,466,471,4,6
20,PB,-1358,rejected,42,48,523,518.0,528.0,,,,,,,,
21,PB,-1339,accepted,33,48,424,419.0,429.0,4,1,427,451,423,428,3,24
22,PB,-1306,rejected,41,46,507,502.0,512.0,,,,,,,,
23,PB,-1280,accepted,30,41,405,400.0,410.0,2,1,408,426,404,409,3,18
24,PB,-1226,accepted,5,14,478,473.0,483.0,1,2,473,486,473,478,5,13
