request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
0,accepted,36,43,467,462,472,4,1,462,479,462,467
1,accepted,30,37,508,503,513,3,2,503,514,503,508
2,accepted,1,14,464,459,469,3,2,459,479,459,464
3,accepted,31,41,512,507,517,3,2,507,527,507,512
4,accepted,39,44,489,484,494,1,2,485,492,485,490
5,accepted,16,25,464,459,469,2,2,469,482,464,469
6,accepted,29,43,505,500,510,3,2,500,530,500,505
7,accepted,37,45,510,505,515,3,2,515,533,510,515
8,accepted,34,49,492,487,497,2,2,497,518,492,497
9,accepted,18,22,475,470,480,2,2,472,476,471,476
10,accepted,28,38,465,460,470,1,2,469,482,465,470
11,rejected,45,48,522,517.0,527.0,,,,,,
12,accepted,27,46,454,449,459,4,1,452,482,451,456
13,accepted,30,38,457,452,462,4,1,457,468,455,460
14,accepted,29,35,432,427,437,3,1,428,435,428,433
15,accepted,33,48,435,430,440,3,1,433,454,432,437
16,accepted,43,47,509,504,514,2,2,513,515,509,514
17,accepted,26,34,458,453,463,1,2,463,473,458,463
18,rejected,4,8,474,469.0,479.0,,,,,,
19,accepted,33,36,474,469,479,1,2,473,475,471,476
20,accepted,26,40,417,412,422,2,1,412,435,412,417
21,accepted,15,25,483,478,488,3,2,482,493,480,485
22,accepted,30,41,503,498,508,3,2,503,527,501,506
23,rejected,26,31,504,499.0,509.0,,,,,,
24,accepted,1,18,457,452,462,3,2,459,484,456,461
25,accepted,35,43,504,499,509,2,2,499,512,499,504
26,accepted,6,13,467,462,472,3,2,466,474,464,469
27,rejected,32,38,442,437.0,447.0,,,,,,
28,accepted,34,40,514,509,519,3,2,511,526,510,515
29,accepted,29,50,428,423,433,3,1,428,457,426,431
30,rejected,9,20,478,473.0,483.0,,,,,,
31,accepted,19,24,489,484,494,3,2,486,489,485,490
32,rejected,32,50,508,503.0,513.0,,,,,,
33,accepted,4,24,454,449,459,2,2,452,478,451,456
34,accepted,41,45,529,524,534,3,2,528,533,526,531
35,accepted,38,40,467,462,472,4,1,469,475,466,471
36,accepted,30,38,499,494,504,2,2,494,506,494,499
37,accepted,20,22,398,393,403,2,1,398,404,396,401
38,rejected,29,47,448,443.0,453.0,,,,,,
39,rejected,30,39,480,475.0,485.0,,,,,,
40,rejected,40,42,508,503.0,513.0,,,,,,
41,accepted,42,46,491,486,496,1,2,489,494,488,493
42,accepted,38,39,525,520,530,3,2,520,521,520,525
43,accepted,29,34,487,482,492,2,2,491,496,487,492
44,rejected,42,44,448,443.0,453.0,,,,,,
45,accepted,3,6,435,430,440,1,2,431,434,431,436
46,accepted,41,47,475,470,480,4,1,477,485,474,479
47,accepted,32,34,455,450,460,4,1,458,459,454,459
48,accepted,30,48,476,471,481,1,2,471,496,471,476
49,rejected,33,45,444,439.0,449.0,,,,,,
50,accepted,46,49,495,490,500,1,2,495,498,493,498
51,rejected,31,40,500,495.0,505.0,,,,,,
52,rejected,20,22,463,458.0,468.0,,,,,,
53,accepted,32,38,457,452,462,4,1,458,468,455,460
54,accepted,44,47,420,415,425,1,1,421,424,418,423
55,rejected,11,15,450,445.0,455.0,,,,,,
56,rejected,3,10,435,430.0,440.0,,,,,,
57,accepted,37,40,419,414,424,2,1,424,435,419,424
58,accepted,28,47,400,395,405,1,1,399,424,397,402
59,accepted,36,39,497,492,502,2,2,500,508,496,501
60,rejected,28,33,487,482.0,492.0,,,,,,
61,accepted,27,48,487,482,492,2,2,489,516,486,491
62,accepted,48,49,515,510,520,2,2,517,518,514,519
63,accepted,7,15,402,397,407,4,1,402,417,400,405
64,rejected,4,15,467,462.0,472.0,,,,,,
65,rejected,29,44,489,484.0,494.0,,,,,,
66,accepted,42,48,447,442,452,3,1,450,454,446,451
67,rejected,33,49,515,510.0,520.0,,,,,,
68,accepted,30,48,427,422,432,3,1,431,454,427,432
69,accepted,14,21,467,462,472,2,2,466,473,464,469
70,rejected,31,43,464,459.0,469.0,,,,,,
71,rejected,40,43,501,496.0,506.0,,,,,,
72,rejected,44,49,450,445.0,455.0,,,,,,
73,rejected,16,24,489,484.0,494.0,,,,,,
74,accepted,31,41,512,507,517,3,2,507,527,507,512
75,accepted,8,13,400,395,405,3,1,398,403,397,402
76,accepted,29,32,456,451,461,4,1,454,457,453,458
77,rejected,11,15,457,452.0,462.0,,,,,,
78,accepted,33,35,497,492,502,2,2,496,498,494,499
79,rejected,42,48,523,518.0,528.0,,,,,,
80,rejected,33,48,424,419.0,429.0,,,,,,
81,accepted,12,25,373,368,378,1,1,372,391,370,375
82,accepted,36,37,501,496,506,2,2,500,501,498,503
83,accepted,39,50,413,408,418,1,1,414,426,411,416
84,rejected,30,41,405,400.0,410.0,,,,,,
85,accepted,8,19,464,459,469,3,2,469,485,464,469
86,rejected,5,14,478,473.0,483.0,,,,,,
87,accepted,36,49,478,473,483,1,2,476,498,475,480
88,rejected,15,24,435,430.0,440.0,,,,,,
89,rejected,39,44,464,459.0,469.0,,,,,,
90,rejected,35,41,502,497.0,507.0,,,,,,
91,rejected,37,43,494,489.0,499.0,,,,,,
92,rejected,27,39,480,475.0,485.0,,,,,,
93,rejected,31,47,507,502.0,512.0,,,,,,
94,rejected,41,42,520,515.0,525.0,,,,,,
95,rejected,27,32,507,502.0,512.0,,,,,,
96,rejected,35,36,455,450.0,460.0,,,,,,
97,rejected,20,21,495,490.0,500.0,,,,,,
98,accepted,17,19,489,484,494,3,2,484,485,484,489
99,accepted,39,47,510,505,515,2,2,509,515,507,512
