vehicle,trip,stop,arrival,departure,stop_type
1,1,1,360,361,mandatory
1,1,8,364,365,mandatory
1,1,12,368,369,mandatory
1,1,13,370,371,mandatory
1,1,14,375,376,mandatory
1,1,17,379,380,mandatory
1,1,21,381,382,mandatory
1,1,24,384,385,mandatory
1,1,25,388,389,mandatory
1,1,26,400,401,mandatory
1,1,27,403,404,mandatory
1,1,30,406,407,mandatory
1,1,31,410,411,optional
1,1,32,413,414,optional
1,1,34,415,416,mandatory
1,1,37,419,420,mandatory
1,1,38,424,425,mandatory
1,1,39,426,427,mandatory
1,1,43,430,431,mandatory
1,1,50,434,435,mandatory
1,2,1,457,458,mandatory
1,2,3,460,461,optional
1,2,4,461,462,optional
1,2,6,466,467,optional
1,2,8,469,470,mandatory
1,2,9,470,471,optional
1,2,11,472,473,optional
1,2,12,477,478,mandatory
1,2,13,479,480,mandatory
1,2,14,484,485,mandatory
1,2,17,488,489,mandatory
1,2,19,490,491,optional
1,2,21,491,492,mandatory
1,2,24,494,495,mandatory
1,2,25,498,499,mandatory
1,2,26,499,500,mandatory
1,2,27,502,503,mandatory
1,2,28,505,506,optional
1,2,30,507,508,mandatory
1,2,32,508,509,optional
1,2,34,510,511,mandatory
1,2,35,512,513,optional
1,2,37,515,516,mandatory
1,2,38,520,521,mandatory
1,2,39,522,523,mandatory
1,2,41,528,529,optional
1,2,42,531,532,optional
1,2,43,532,533,mandatory
1,2,47,535,536,optional
1,2,48,536,537,optional
1,2,50,539,540,mandatory
2,1,1,360,361,mandatory
2,1,8,364,365,mandatory
2,1,12,368,369,mandatory
2,1,13,370,371,mandatory
2,1,14,375,376,mandatory
2,1,17,379,380,mandatory
2,1,21,381,382,mandatory
2,1,24,384,385,mandatory
2,1,25,388,389,mandatory
2,1,26,408,409,mandatory
2,1,27,411,412,mandatory
2,1,30,414,415,mandatory
2,1,33,416,417,optional
2,1,34,417,418,mandatory
2,1,37,421,422,mandatory
2,1,38,426,427,mandatory
2,1,39,428,429,mandatory
2,1,43,432,433,mandatory
2,1,50,436,437,mandatory
2,2,1,449,450,mandatory
2,2,5,453,454,optional
2,2,6,456,457,optional
2,2,7,457,458,optional
2,2,8,460,461,mandatory
2,2,12,464,465,mandatory
2,2,13,466,467,mandatory
2,2,14,471,472,mandatory
2,2,16,474,475,optional
2,2,17,476,477,mandatory
2,2,21,478,479,mandatory
2,2,24,481,482,mandatory
2,2,25,485,486,mandatory
2,2,26,486,487,mandatory
2,2,27,489,490,mandatory
2,2,29,491,492,optional
2,2,30,494,495,mandatory
2,2,32,495,496,optional
2,2,33,496,497,optional
2,2,34,497,498,mandatory
2,2,36,499,500,optional
2,2,37,501,502,mandatory
2,2,38,506,507,mandatory
2,2,39,508,509,mandatory
2,2,40,513,514,optional
2,2,41,514,515,optional
2,2,42,517,518,optional
2,2,43,518,519,mandatory
2,2,48,522,523,optional
2,2,49,524,525,optional
2,2,50,529,530,mandatory
3,1,1,391,392,mandatory
3,1,2,394,395,optional
3,1,8,398,399,mandatory
3,1,12,402,403,mandatory
3,1,13,404,405,mandatory
3,1,14,409,410,mandatory
3,1,17,413,414,mandatory
3,1,18,414,415,optional
3,1,21,416,417,mandatory
3,1,24,419,420,mandatory
3,1,25,423,424,mandatory
3,1,26,446,447,mandatory
3,1,27,449,450,mandatory
3,1,29,451,452,optional
3,1,30,454,455,mandatory
3,1,34,456,457,mandatory
3,1,36,458,459,optional
3,1,37,460,461,mandatory
3,1,38,465,466,mandatory
3,1,39,467,468,mandatory
3,1,43,471,472,mandatory
3,1,46,474,475,optional
3,1,49,476,477,optional
3,1,50,481,482,mandatory
4,1,1,431,432,mandatory
4,1,8,435,436,mandatory
4,1,12,439,440,mandatory
4,1,13,441,442,mandatory
4,1,14,446,447,mandatory
4,1,16,449,450,optional
4,1,17,451,452,mandatory
4,1,18,452,453,optional
4,1,21,454,455,mandatory
4,1,24,457,458,mandatory
4,1,25,461,462,mandatory
4,1,26,464,465,mandatory
4,1,27,467,468,mandatory
4,1,28,470,471,optional
4,1,30,472,473,mandatory
4,1,34,474,475,mandatory
4,1,35,476,477,optional
4,1,37,479,480,mandatory
4,1,38,484,485,mandatory
4,1,39,486,487,mandatory
4,1,43,490,491,mandatory
4,1,44,493,494,optional
4,1,46,495,496,optional
4,1,49,497,498,optional
4,1,50,502,503,mandatory
