request_id,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub
1,accepted,31,32,458,453,463,3,1,457,459,455,460
2,rejected,4,16,410,405,415,,,,,,
3,accepted,7,13,413,408,418,3,1,408,421,408,413
4,accepted,14,19,407,402,412,2,1,407,416,405,410
5,accepted,27,39,417,412,422,1,1,422,446,417,422
6,accepted,35,37,443,438,448,1,1,438,441,438,443
7,accepted,26,29,440,435,445,3,1,445,450,440,445
8,rejected,27,37,406,401,411,,,,,,
9,rejected,24,39,403,398,408,,,,,,
10,rejected,5,13,411,406,416,,,,,,
11,accepted,29,40,440,435,445,2,1,440,466,438,443
12,rejected,28,31,445,440,450,,,,,,
13,accepted,31,37,458,453,463,3,1,457,471,455,460
14,rejected,35,39,429,424,434,,,,,,
15,rejected,25,36,441,436,446,,,,,,
16,accepted,27,29,449,444,454,3,1,447,450,446,451
17,accepted,9,20,416,411,421,3,1,411,436,411,416
18,accepted,5,9,389,384,394,2,1,389,394,387,392
19,accepted,31,36,457,452,462,3,1,457,468,455,460
20,rejected,38,39,433,428,438,,,,,,
21,accepted,32,40,461,456,466,3,1,460,479,458,463
22,accepted,30,35,451,446,456,3,1,454,465,450,455
23,accepted,28,31,441,436,446,2,1,438,445,437,442
24,rejected,22,36,441,436,446,,,,,,
25,rejected,23,38,444,439,449,,,,,,
26,accepted,33,35,447,442,452,2,1,451,454,447,452
27,accepted,23,32,419,414,424,1,1,417,432,416,421
28,rejected,22,29,443,438,448,,,,,,
29,accepted,24,33,445,440,450,3,1,442,461,441,446
30,accepted,21,26,441,436,446,3,1,438,444,437,442
31,accepted,25,40,424,419,429,1,1,420,449,420,425
32,accepted,23,30,444,439,449,3,1,440,453,440,445
33,accepted,26,31,445,440,450,3,1,445,456,443,448
34,accepted,1,12,405,400,410,3,1,402,419,401,406
35,accepted,28,39,440,435,445,2,1,438,463,437,442
36,accepted,31,35,458,453,463,3,1,457,465,455,460
37,rejected,38,39,436,431,441,,,,,,
38,rejected,8,16,413,408,418,,,,,,
39,accepted,19,20,404,399,409,1,1,404,406,402,407
40,accepted,25,37,417,412,422,1,1,420,441,416,421
