vehicle,trip,stop,arrival,departure,stop_type
1,1,1,363,364,mandatory
1,1,7,369,370,mandatory
1,1,10,374,375,mandatory
1,1,11,377,378,mandatory
1,1,12,380,381,mandatory
1,1,14,383,384,mandatory
1,1,15,385,386,optional
1,1,17,390,391,mandatory
1,1,19,394,395,mandatory
1,1,20,397,398,mandatory
1,1,21,401,402,mandatory
1,1,23,403,404,optional
1,1,27,409,410,mandatory
1,1,29,413,414,optional
1,1,30,416,417,mandatory
1,1,31,419,420,mandatory
1,1,32,422,423,mandatory
1,1,34,425,426,mandatory
1,1,35,427,428,optional
1,1,37,431,432,mandatory
1,1,38,434,435,optional
1,1,39,437,438,mandatory
1,1,40,440,441,mandatory
2,1,1,386,387,mandatory
2,1,2,389,390,optional
2,1,7,394,395,mandatory
2,1,10,399,400,mandatory
2,1,11,402,403,mandatory
2,1,12,405,406,mandatory
2,1,14,408,409,mandatory
2,1,17,414,415,mandatory
2,1,18,416,417,optional
2,1,19,419,420,mandatory
2,1,20,422,423,mandatory
2,1,21,423,424,mandatory
2,1,25,428,429,optional
2,1,27,430,431,mandatory
2,1,28,433,434,optional
2,1,30,437,438,mandatory
2,1,31,440,441,mandatory
2,1,32,443,444,mandatory
2,1,33,445,446,optional
2,1,34,447,448,mandatory
2,1,35,449,450,optional
2,1,36,452,453,optional
2,1,37,455,456,mandatory
2,1,38,458,459,optional
2,1,39,461,462,mandatory
2,1,40,464,465,mandatory
3,1,1,395,396,mandatory
3,1,4,399,400,optional
3,1,5,401,402,optional
3,1,7,404,405,mandatory
3,1,9,407,408,optional
3,1,10,410,411,mandatory
3,1,11,413,414,mandatory
3,1,12,416,417,mandatory
3,1,13,418,419,optional
3,1,14,420,421,mandatory
3,1,17,426,427,mandatory
3,1,19,430,431,mandatory
3,1,20,433,434,mandatory
3,1,21,434,435,mandatory
3,1,22,436,437,optional
3,1,23,438,439,optional
3,1,24,440,441,optional
3,1,26,443,444,optional
3,1,27,445,446,mandatory
3,1,28,448,449,optional
3,1,29,450,451,optional
3,1,30,453,454,mandatory
3,1,31,456,457,mandatory
3,1,32,459,460,mandatory
3,1,33,461,462,optional
3,1,34,463,464,mandatory
3,1,35,465,466,optional
3,1,36,468,469,optional
3,1,37,471,472,mandatory
3,1,39,476,477,mandatory
3,1,40,479,480,mandatory
