order,request_id,request_time,origin,destination,desired_time,ptw_lb,ptw_ub,decision
1,7,-42840,32,36,480,470,490,accepted
2,13,-42840,39,47,507,497,517,accepted
3,16,-41400,34,36,509,499,519,accepted
4,22,-41400,37,44,496,486,506,accepted
5,21,-39960,40,50,513,503,523,accepted
6,35,-39960,34,48,480,470,490,accepted
7,49,-39960,4,24,452,442,462,accepted
8,50,-39960,35,37,511,501,521,accepted
9,27,-38520,29,40,449,439,459,accepted
10,4,-37080,18,24,431,421,441,accepted
11,14,-35640,44,48,464,454,474,accepted
12,26,-35640,41,44,490,480,500,accepted
13,29,-35640,30,41,502,492,512,accepted
14,17,-34200,11,25,465,455,475,accepted
15,39,-34200,24,25,426,416,436,accepted
16,47,-34200,26,44,442,432,452,accepted
17,3,-32760,9,16,443,433,453,accepted
18,1,-31320,38,40,516,506,526,accepted
19,11,-31320,36,49,481,471,491,accepted
20,32,-31320,28,37,498,488,508,accepted
21,36,-31320,38,44,515,505,525,accepted
22,8,-29880,33,47,423,413,433,accepted
23,19,-29880,39,45,505,495,515,accepted
24,28,-27000,28,37,498,488,508,accepted
25,30,-25560,27,32,497,487,507,accepted
26,31,-25560,31,50,457,447,467,accepted
27,24,-24120,28,45,481,471,491,accepted
28,37,-22680,48,49,474,464,484,accepted
29,42,-21240,33,35,464,454,474,accepted
30,10,-18360,6,16,456,446,466,accepted
31,6,-16920,44,46,485,475,495,rejected
32,33,-15480,33,38,487,477,497,accepted
33,9,-14040,30,49,425,415,435,accepted
34,18,-11160,6,11,403,393,413,accepted
35,34,-11160,1,15,430,420,440,accepted
36,5,-9720,33,49,446,436,456,accepted
37,15,-9720,32,44,481,471,491,accepted
38,38,-9720,9,19,440,430,450,accepted
39,41,-9720,4,25,452,442,462,accepted
40,45,-9720,30,44,490,480,500,accepted
41,25,-6840,28,48,498,488,508,accepted
42,40,-5400,31,46,445,435,455,accepted
43,43,-5400,5,18,454,444,464,accepted
44,2,-3960,5,19,454,444,464,accepted
45,12,-3960,34,39,487,477,497,accepted
46,20,-3960,47,49,470,460,480,accepted
47,48,-2520,20,25,471,461,481,accepted
48,23,-1080,34,39,482,472,492,accepted
49,44,-1080,39,46,454,444,464,accepted
50,46,-1080,32,35,488,478,498,accepted
