request_id,type,request_time,status,origin,destination,desired_time,ptw_lb,ptw_ub,vehicle,trip,pickup,dropoff,cw_lb,cw_ub,dtd,ivt
1,PB,-24120,accepted,11,14,508,498,518,2,1,503,521,503,513,5,18
2,PB,-22680,accepted,20,26,603,593,613,4,1,603,633,598,608,0,30
3,PB,-21240,accepted,23,26,616,606,626,4,1,619,633,613,623,3,14
4,PB,-11160,accepted,7,11,531,521,541,4,1,530,554,525,535,1,24
5,PB,-29880,accepted,21,29,521,511,531,1,1,527,565,519,529,6,38
6,PB,-18360,accepted,3,15,511,501,521,4,1,510,580,506,516,1,70
7,PB,-39960,accepted,8,9,513,503,523,3,1,511,518,506,516,2,7
8,PB,-37080,accepted,19,20,544,534,554,2,1,546,550,540,550,2,4
9,PB,-2520,accepted,10,13,522,512,532,3,1,524,537,517,527,2,13
10,PB,-6840,accepted,1,3,501,491,511,4,1,499,509,497,507,2,10
11,PB,-22680,rejected,8,11,398,388,408,,,,,,,,
12,PB,-14040,accepted,21,25,608,598,618,4,1,608,629,603,613,0,21
13,PB,-2520,rejected,16,17,465,455,475,,,,,,,,
14,PB,-21240,accepted,22,30,588,578,598,3,1,583,631,581,591,5,48
15,PB,-29880,accepted,10,14,550,540,560,4,1,550,569,545,555,0,19
16,PB,-9720,accepted,17,26,569,559,579,3,1,563,603,561,571,6,40
17,PB,-14040,accepted,23,29,579,569,589,3,1,589,621,579,589,10,32
18,PB,-25560,accepted,2,9,433,423,443,1,1,433,464,428,438,0,31
19,PB,-12600,accepted,24,27,562,552,572,2,1,571,581,562,572,9,10
20,PB,-5400,rejected,26,29,503,493,513,,,,,,,,
21,PB,-1080,accepted,21,28,532,522,542,1,1,527,558,525,535,5,31
22,PB,-27000,accepted,7,9,521,511,531,4,1,530,544,520,530,9,14
23,PB,-25560,accepted,17,27,568,558,578,3,1,563,608,561,571,5,45
24,PB,-14040,accepted,21,22,608,598,618,4,1,608,612,603,613,0,4
25,PB,-11160,accepted,18,22,563,553,573,3,1,567,582,560,570,4,15
26,PB,-6840,accepted,20,28,603,593,613,4,1,603,641,598,608,0,38
27,PB,-31320,accepted,24,27,566,556,576,2,1,571,581,564,574,5,10
28,PB,-9720,rejected,21,22,469,459,479,,,,,,,,
29,PB,-12600,accepted,17,23,591,581,601,4,1,590,618,586,596,1,28
30,PB,-14040,accepted,3,10,511,501,521,4,1,510,549,506,516,1,39
31,RT,557,accepted,20,25,573,563,583,3,1,575,599,569,579,2,24
32,RT,613,accepted,28,30,642,632,652,4,1,642,658,637,647,0,16
33,RT,491,accepted,2,6,507,497,517,4,1,505,523,501,511,2,18
34,RT,507,rejected,28,29,522,512,532,,,,,,,,
35,RT,553,accepted,22,26,581,571,591,3,1,583,603,577,587,2,20
36,RT,421,rejected,2,6,447,437,457,,,,,,,,
37,RT,575,accepted,23,29,599,589,609,3,1,589,621,589,599,10,32
38,RT,549,rejected,12,13,559,549,569,,,,,,,,
39,RT,608,accepted,26,30,632,622,642,4,1,634,658,628,638,2,24
40,RT,495,rejected,12,15,509,499,519,,,,,,,,
41,RT,547,rejected,13,14,561,551,571,,,,,,,,
42,RT,554,rejected,18,24,580,570,590,,,,,,,,
43,RT,536,accepted,10,15,547,537,557,4,1,550,580,543.5,553.5,3,30
44,RT,450,accepted,6,13,476,466,486,2,1,472,514,470,480,4,42
45,RT,504,accepted,20,25,525,515,535,1,1,522,545,518.5,528.5,3,23
46,RT,548,accepted,28,29,558,548,568,1,1,559,565,553.5,563.5,1,6
47,RT,535,rejected,16,24,545,535,555,,,,,,,,
48,RT,453,rejected,18,22,471,461,481,,,,,,,,
49,RT,557,accepted,14,15,573,563,583,4,1,570,580,566.5,576.5,3,10
50,RT,597,accepted,20,26,603,593,613,4,1,603,633,598,608,0,30
51,RT,589,rejected,20,27,603,593,613,,,,,,,,
52,RT,533,accepted,21,28,559,549,569,2,1,556,588,552.5,562.5,3,32
53,RT,498,rejected,24,25,517,507,527,,,,,,,,
54,RT,545,rejected,17,22,574,564,584,,,,,,,,
55,RT,508,accepted,8,10,537,527,547,4,1,537,549,532,542,0,12
56,RT,598,accepted,25,28,628,618,638,4,1,630,641,624,634,2,11
57,RT,460,accepted,7,15,485,475,495,2,1,478,532,476.5,486.5,7,54
58,RT,497,accepted,10,13,504,494,514,2,1,498,514,496,506,6,16
59,RT,534,rejected,11,12,555,545,565,,,,,,,,
60,RT,611,rejected,26,29,620,610,630,,,,,,,,
