vehicle,trip,stop,arrival,departure,stop_type
1,1,1,425.99,426.99,mandatory
1,1,2,431.99,432.99,optional
1,1,5,442.99,443.99,mandatory
1,1,8,455.99,456.99,mandatory
1,1,9,463.99,464.99,mandatory
1,1,10,468.99,469.99,mandatory
1,1,14,491.99,492.99,mandatory
1,1,15,502.99,503.99,mandatory
1,1,16,504,505,mandatory
1,1,20,521,522,mandatory
1,1,21,526,527,optional
1,1,23,534,535,mandatory
1,1,24,541,542,mandatory
1,1,25,545,546,mandatory
1,1,28,558,559,optional
1,1,29,565,566,mandatory
1,1,30,575,576,mandatory
2,1,1,447.99,448.99,mandatory
2,1,5,465.99,466.99,mandatory
2,1,6,470.99,471.99,optional
2,1,7,476.99,477.99,optional
2,1,8,483.99,484.99,mandatory
2,1,9,491.99,492.99,mandatory
2,1,10,496.99,497.99,mandatory
2,1,11,501.99,502.99,optional
2,1,13,513.99,514.99,optional
2,1,14,520.99,521.99,mandatory
2,1,15,531.99,532.99,mandatory
2,1,16,532.99,533.99,mandatory
2,1,19,544.99,545.99,optional
2,1,20,549.99,550.99,mandatory
2,1,21,554.99,555.99,optional
2,1,23,562.99,563.99,mandatory
2,1,24,569.99,570.99,mandatory
2,1,25,573.99,574.99,mandatory
2,1,27,580.99,581.99,optional
2,1,28,587.99,588.99,optional
2,1,29,594.99,595.99,mandatory
2,1,30,604.99,605.99,mandatory
3,1,1,479,480,mandatory
3,1,5,497,498,mandatory
3,1,8,510,511,mandatory
3,1,9,518,519,mandatory
3,1,10,523,524,mandatory
3,1,13,537,538,optional
3,1,14,544,545,mandatory
3,1,15,555,556,mandatory
3,1,16,556,557,mandatory
3,1,17,562,563,optional
3,1,18,566,567,optional
3,1,20,574,575,mandatory
3,1,22,582,583,optional
3,1,23,588,589,mandatory
3,1,24,595,596,mandatory
3,1,25,599,600,mandatory
3,1,26,603,604,optional
3,1,27,608,609,optional
3,1,29,621,622,mandatory
3,1,30,631,632,mandatory
4,1,1,497.99,498.99,mandatory
4,1,2,503.99,504.99,optional
4,1,3,508.99,509.99,optional
4,1,5,517.99,518.99,mandatory
4,1,6,522.99,523.99,optional
4,1,7,528.99,529.99,optional
4,1,8,535.99,536.99,mandatory
4,1,9,543.99,544.99,mandatory
4,1,10,548.99,549.99,mandatory
4,1,11,553.99,554.99,optional
4,1,14,568.99,569.99,mandatory
4,1,15,579.99,580.99,mandatory
4,1,16,583,584,mandatory
4,1,17,589,590,optional
4,1,20,602,603,mandatory
4,1,21,607,608,optional
4,1,22,612,613,optional
4,1,23,618,619,mandatory
4,1,24,625,626,mandatory
4,1,25,629,630,mandatory
4,1,26,633,634,optional
4,1,28,641,642,optional
4,1,29,648,649,mandatory
4,1,30,658,659,mandatory
