instance_id,instance,seed,group,pb_requests,rt_requests,phase1_pb_accepted,phase1_objective,phase1_dtd,phase1_ivt,phase1_time_s,phase2_pb_accepted,phase2_objective,phase2_dtd,phase2_ivt,phase2_time_s,pb_accepted,rt_accepted,total_accepted,objective,total_dtd,total_ivt,phase3_solver_time_s,phase3_wall_time_s,phase3_epochs,phase3_max_epoch_s,phase3_avg_epoch_s,vehicle_trips_used,cw_violations
leuven-01_s1,leuven-01,1,Leuven,50,50,38,12605.0,123.0,482.0,102.223,38,12605.0,123.0,482.0,5.683,38,26,64,37028.0,197.0,831.0,1.4,2.857,41,0.113,0.034,7,0
leuven-01_s2,leuven-01,2,Leuven,50,50,37,13561.0,122.0,439.0,112.823,37,13561.0,122.0,439.0,5.717,37,19,56,44907.0,169.0,738.0,2.58,5.232,43,0.123,0.06,8,0
leuven-01_s3,leuven-01,3,Leuven,50,50,34,16517.0,97.0,420.0,126.386,34,16517.0,97.0,420.0,5.602,34,18,52,48874.0,153.0,721.0,2.504,4.8,40,0.138,0.063,8,0
leuven-02_s1,leuven-02,1,Leuven,50,50,40,10594.0,116.0,478.0,105.051,40,10594.0,116.0,478.0,5.733,40,30,70,31058.0,186.0,872.0,2.413,5.226,41,0.143,0.059,8,0
leuven-02_s2,leuven-02,2,Leuven,50,50,41,9597.0,119.0,478.0,121.678,41,9597.0,119.0,478.0,6.065,41,24,65,36071.0,182.0,889.0,2.225,4.547,43,0.133,0.052,9,0
leuven-02_s3,leuven-02,3,Leuven,50,50,42,8681.0,114.0,567.0,97.165,42,8679.0,113.0,566.0,6.093,42,27,69,32197.0,192.0,1005.0,2.625,5.386,40,0.13,0.066,9,0
leuven-03_s1,leuven-03,1,Leuven,50,50,47,3814.0,228.0,586.0,72.658,47,3814.0,228.0,586.0,6.801,47,34,81,20403.0,361.0,1042.0,1.505,3.051,41,0.188,0.037,7,0
leuven-03_s2,leuven-03,2,Leuven,50,50,49,1872.0,227.0,645.0,89.034,49,1872.0,227.0,645.0,6.25,49,28,77,24556.0,375.0,1181.0,1.67,3.516,43,0.092,0.039,7,0
leuven-03_s3,leuven-03,3,Leuven,50,50,49,1866.0,213.0,653.0,69.835,49,1866.0,213.0,653.0,6.477,49,33,82,19530.0,385.0,1145.0,1.79,3.527,40,0.11,0.045,7,0
leuven-04_s1,leuven-04,1,Leuven,50,50,27,23342.0,50.0,292.0,174.877,27,23342.0,50.0,292.0,5.717,27,12,39,61500.0,74.0,426.0,1.908,3.588,41,0.117,0.047,6,0
leuven-04_s2,leuven-04,2,Leuven,50,50,30,20360.0,43.0,317.0,174.345,30,20360.0,43.0,317.0,5.8,30,12,42,58574.0,66.0,508.0,1.773,3.491,43,0.108,0.041,8,0
leuven-04_s3,leuven-04,3,Leuven,50,50,26,24382.0,44.0,338.0,174.605,26,24382.0,44.0,338.0,5.62,26,13,39,61572.0,55.0,517.0,1.714,3.427,40,0.135,0.043,8,0
leuven-05_s1,leuven-05,1,Leuven,50,50,28,22407.0,94.0,313.0,156.301,28,22407.0,94.0,313.0,5.589,28,19,47,53682.0,142.0,540.0,1.2,2.334,41,0.057,0.029,5,0
leuven-05_s2,leuven-05,2,Leuven,50,50,32,18479.0,92.0,387.0,155.755,32,18479.0,92.0,387.0,5.742,32,12,44,56710.0,119.0,591.0,1.325,2.609,43,0.054,0.031,6,0
leuven-05_s3,leuven-05,3,Leuven,50,50,26,24414.0,88.0,326.0,162.012,26,24414.0,88.0,326.0,5.577,26,13,39,61657.0,130.0,527.0,1.248,2.373,40,0.069,0.031,6,0
leuven-06_s1,leuven-06,1,Leuven,30,70,23,7313.0,58.0,255.0,60.138,23,7313.0,58.0,255.0,5.598,23,22,45,55669.0,110.0,559.0,2.647,5.202,55,0.104,0.048,6,0
leuven-06_s2,leuven-06,2,Leuven,30,70,24,6338.0,77.0,261.0,73.143,24,6338.0,77.0,261.0,5.498,24,21,45,55751.0,134.0,617.0,2.512,5.184,55,0.079,0.046,8,0
leuven-06_s3,leuven-06,3,Leuven,30,70,26,4367.0,73.0,294.0,49.03,26,4367.0,73.0,294.0,5.72,26,29,55,45915.0,172.0,743.0,2.223,4.679,53,0.078,0.042,7,0
leuven-07_s1,leuven-07,1,Leuven,70,30,44,26682.0,118.0,564.0,251.366,44,26682.0,118.0,564.0,6.067,44,8,52,48823.0,142.0,681.0,1.079,2.092,26,0.068,0.042,6,0
leuven-07_s2,leuven-07,2,Leuven,70,30,48,22780.0,137.0,643.0,244.73,48,22780.0,137.0,643.0,6.585,48,13,61,40031.0,175.0,856.0,1.051,2.145,28,0.065,0.038,7,0
leuven-07_s3,leuven-07,3,Leuven,70,30,46,24823.0,149.0,674.0,201.761,46,24823.0,149.0,674.0,5.992,46,10,56,45038.0,186.0,852.0,1.067,2.139,25,0.074,0.043,7,0
leuven-08_s1,leuven-08,1,Leuven,100,100,60,40971.0,167.0,804.0,404.066,60,40971.0,167.0,804.0,6.732,60,36,96,105578.0,261.0,1317.0,5.143,11.133,71,0.126,0.073,7,0
leuven-08_s2,leuven-08,2,Leuven,100,100,57,43952.0,148.0,804.0,468.157,57,43952.0,148.0,804.0,6.844,57,40,97,104580.0,262.0,1318.0,4.637,10.148,72,0.121,0.064,8,0
leuven-08_s3,leuven-08,3,Leuven,100,100,62,38928.0,173.0,755.0,393.614,62,38928.0,173.0,755.0,7.244,62,29,91,110394.0,252.0,1142.0,4.424,9.729,63,0.125,0.07,7,0
leuven-09_s1,leuven-09,1,Leuven,50,50,37,13568.0,114.0,454.0,144.624,37,13568.0,114.0,454.0,6.027,37,15,52,48845.0,152.0,693.0,2.056,4.082,45,0.086,0.046,6,0
leuven-09_s2,leuven-09,2,Leuven,50,50,36,14578.0,99.0,479.0,125.853,36,14578.0,99.0,479.0,5.575,36,19,55,46009.0,158.0,851.0,2.766,5.408,43,0.13,0.064,6,0
leuven-09_s3,leuven-09,3,Leuven,50,50,34,16526.0,103.0,423.0,130.962,34,16526.0,103.0,423.0,5.531,34,20,54,47047.0,167.0,880.0,2.833,5.721,40,0.11,0.071,6,0
leuven-10_s1,leuven-10,1,Leuven,50,50,36,14579.0,119.0,460.0,134.126,36,14579.0,119.0,460.0,5.919,36,14,50,50772.0,149.0,623.0,1.538,3.096,42,0.092,0.037,7,0
leuven-10_s2,leuven-10,2,Leuven,50,50,38,12673.0,106.0,567.0,101.979,38,12673.0,106.0,567.0,5.598,38,23,61,40116.0,171.0,945.0,2.603,5.327,41,0.109,0.064,7,0
leuven-10_s3,leuven-10,3,Leuven,50,50,39,11589.0,104.0,485.0,92.547,39,11587.0,102.0,485.0,5.594,39,16,55,45882.0,141.0,741.0,2.844,5.672,42,0.1,0.068,6,0
